Path,Size,ModifiedUTC,SHA256
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws (1) (1).pdf,54246,2026-06-25T03:38:16.361076Z,c3fefd7542a988f686b960bd5d9dc2d56f82c348566fc1c84565619643cc197f
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws (1) (2).pdf,54246,2026-06-25T03:43:11.376315Z,c3fefd7542a988f686b960bd5d9dc2d56f82c348566fc1c84565619643cc197f
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws (1).pdf,54246,2026-06-25T01:37:42.022902Z,c3fefd7542a988f686b960bd5d9dc2d56f82c348566fc1c84565619643cc197f
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws (2) (1).pdf,54246,2026-06-25T03:38:16.961798Z,a94e1b789a7c18a1f8521050b588029f5fcad52c64314069c48a358a5ec819cd
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws (2) (2).pdf,54246,2026-06-25T03:38:18.315675Z,a94e1b789a7c18a1f8521050b588029f5fcad52c64314069c48a358a5ec819cd
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws (2) (3).pdf,54246,2026-06-25T03:43:11.426287Z,a94e1b789a7c18a1f8521050b588029f5fcad52c64314069c48a358a5ec819cd
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws (2).pdf,54246,2026-06-25T03:38:15.853368Z,a94e1b789a7c18a1f8521050b588029f5fcad52c64314069c48a358a5ec819cd
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws (3) (1).pdf,54246,2026-06-25T03:38:16.585945Z,549c7dfd6fce615e42a625504105ca6946bf1a3833beaf4f7e8df698c71cd8f0
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws (3) (2).pdf,54246,2026-06-25T03:43:14.992139Z,549c7dfd6fce615e42a625504105ca6946bf1a3833beaf4f7e8df698c71cd8f0
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws (3).pdf,54246,2026-06-25T03:38:16.366073Z,549c7dfd6fce615e42a625504105ca6946bf1a3833beaf4f7e8df698c71cd8f0
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws (4).pdf,54246,2026-06-25T03:38:16.079237Z,9504d2a0d17a384eb648288ac380869d5485711cf306d1f10f982c9f7c3f5e78
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws (5).pdf,54246,2026-06-25T03:43:18.825582Z,9504d2a0d17a384eb648288ac380869d5485711cf306d1f10f982c9f7c3f5e78
C:\Users\HP\Downloads\1. Theory Theory 1 Onesentence theory in your exact words.  Laws.pdf,54246,2026-06-25T03:38:15.855366Z,9504d2a0d17a384eb648288ac380869d5485711cf306d1f10f982c9f7c3f5e78
C:\Users\HP\Downloads\13b0f7e6-0de6-4ca4-b69b-af9c1f30ccef.tmp,627046,2026-06-24T12:05:49.101324Z,b1c47b3e684fc10648b485720314f95c6bbb7b878c1a6b15a7838f72d6d679d4
C:\Users\HP\Downloads\2024-06-21 15.27.59.jpg,152902,2026-06-25T07:45:08.921236Z,9233412732ca7d33ee1fad8b6c488076657175931c67c46becdc493f6791f8fa
C:\Users\HP\Downloads\2024-10-24 02.03.50.jpg,177268,2026-06-25T09:16:54.511086Z,f409cc5d24c56790a6d2a7e92e54e2b7612e1aba5c16dcf67f1bf843e090d3c4
C:\Users\HP\Downloads\2024-10-29 10.47.51.jpg,757558,2026-06-25T08:21:07.241853Z,2279b67a12354c3af3b6b799567a2f7491c6df72a423fda5a8ef3a7fe62fab8a
C:\Users\HP\Downloads\2024-10-30 12.06.27.mp4,1707925,2026-06-25T08:33:00.448713Z,5a93018230668a5f79b44b06eed1a77c9655c324129e984c2cbb3be793e809b8
C:\Users\HP\Downloads\2024-10-30 12.07.34.mp4,4385460,2026-06-25T07:44:51.563762Z,4d20165073d9f312fb59e706860b3beb8e1398884853b8c1749050cbd1d63999
C:\Users\HP\Downloads\2024-10-30 12.07.39.mp4,6590612,2026-06-25T07:58:37.323340Z,b3ba1c38e562c181347c811b76ba8e6ba1730412e2346a0dd0acf9fcf84f0cd4
C:\Users\HP\Downloads\2024-10-30 12.07.43.mp4,1124003,2026-06-25T08:56:00.559030Z,a64cbd2b32cc367f35049832d800943d201b0ea5cfed3144cd92049e8fe6c654
C:\Users\HP\Downloads\2024-10-30 12.07.47.mp4,2992826,2026-06-25T07:43:06.069229Z,08359025fe37052cc2b95de4bf20974c8280170d32f46d065a76bc30feb1ac50
C:\Users\HP\Downloads\2024-10-30 12.22.18.mp4,51269654,2026-06-25T07:54:31.559741Z,1ee0b08653a0164175095b6656994f81efc98d4c35fd5b0f316ab2eab04e1680
C:\Users\HP\Downloads\2024-10-30 12.35.53.mp4,6025695,2026-06-25T08:32:18.319774Z,22243d41ecd798612b0d7ca0e41dd58cdc5ef2b9df04d1927dec3d23985be57b
C:\Users\HP\Downloads\2024-10-30 13.09.41.mp4,44186283,2026-06-25T07:15:38.348798Z,0636d1831e32d22f3a15d6887c7ba3831086465a1d8ffda3437d1b0763a0bc36
C:\Users\HP\Downloads\2024-10-30 20.26.55.jpg,397678,2026-06-25T09:32:53.741102Z,d27bf1dc624a55ff69ec08d2f3857b29583b8c09001b2fb4e11e065c6840733f
C:\Users\HP\Downloads\2024-10-30 20.26.58.jpg,410466,2026-06-25T07:50:16.662518Z,b30c64f9ed052373e6e8a09a5ae96f93780c626a25ecc71f7f45639e7482b4e4
C:\Users\HP\Downloads\2024-11-01 09.33.31.jpg,539729,2026-06-25T07:55:50.748341Z,79c314c31b196db6f2e5dc2256b7879af4a79a90f3c6fa15499dfb48152aa652
C:\Users\HP\Downloads\2024-11-01 09.35.04.jpg,359633,2026-06-25T06:56:01.821522Z,0cbc68c7fcfe1cbcdced4fecb0c07e9c7f986b82461d0062cc09d0d6e655553f
