entity_name,disqualification_reasons,data_sources,property_address,mail_city,ppp_amounts,loan_locations
2450 COLORADO BLVD LLC,high_ppp_amount; llc_or_corp; ppp_fraud_multiple_loans; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,16255 PACIFIC CIR APT 306,SANDY,376000.0,"Chatsworth, CA"
A & D LLC,llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,5821 VIEW CIR,FOUNTAIN VALLEY,55324.47,"Phoenix, AZ"
AGG PROPERTIES LLC,rico_evidence,rico_evidence_matrix,,,,
AGHA LLC,rico_evidence,rico_evidence_matrix,,,,
AIMS LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,16091 BEACH BLVD,SARATOGA,41250.0,
ALCHEMY FACTORY LLC,rico_evidence,rico_evidence_matrix,,,,
AMG GROUP LLC,llc_or_corp; ppp_out_of_state; suspicious_network_match,suspicious_hb_network,807 MUIRFIELD DR,BRADBURY,20800.0,
ARABELLA LLC,rico_evidence,rico_evidence_matrix,,,,
ARES INVESTMENT GROUP LLC,rico_evidence,rico_evidence_matrix,,,,
ATN LLC,llc_or_corp; ppp_out_of_state; suspicious_network_match,suspicious_hb_network,18586 GARNET LN,RIVERSIDE,17600.0,
BAM HOMES LLC,rico_evidence,rico_evidence_matrix,,,,
BARAKAH LLC,rico_evidence,rico_evidence_matrix,,,,
BOBS GARAGE LLC,llc_or_corp; ppp_out_of_state; suspicious_network_match,suspicious_hb_network,711 W 17TH ST # 92,CORONA DEL MAR,12990.0,
BONGOS SPORTFISHING LLC,llc_or_corp; ppp_rico_match; rico_evidence; suspicious_network_match,ppp_rico_matches; rico_evidence_matrix; suspicious_hb_network,829 HARBOR ISLAND DR,ROSSMOOR,25250.0,"NEWPORT BEACH, CA"
CMR INVESTMENTS LLC,llc_or_corp; ppp_out_of_state; suspicious_network_match,suspicious_hb_network,280 CAGNEY LN APT 115,PARK CITY,20029.0,
COMPASSIONATE CARE HOSPICE LLC,high_ppp_amount; llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,17220 NEWHOPE ST STE 123 | 17220 NEWHOPE ST STE 124,FOUNTAIN VALLEY,279820.0,"FOUNTAIN VALLEY, CA"
COVE CAPITAL LLC,llc_or_corp; ppp_out_of_state; suspicious_network_match,suspicious_hb_network,2230 PACIFIC AVE APT A | 2230 PACIFIC AVE APT D | 2230 PACIFIC AVE | 2230 PACIFIC AVE APT B | 2230 PACIFIC AVE APT C,NEWPORT COAST,8750.0,
CROWN WEALTH PROPERTIES LLC,llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,2900 BRISTOL ST # 1,COSTA MESA,43190.0,"COSTA MESA, CA"
CTA ENTERPRISES LLC,rico_evidence,rico_evidence_matrix,,,,
DAYAL LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,8491 ATLANTA AVE # 201,ROSEMEAD,9750.0,
DBS-ENTERPRISES LLC,high_ppp_amount; llc_or_corp; ppp_fraud_multiple_loans; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,2881 COAST CIR APT A,LAS VEGAS,237189.0,"Chugiak, AK; SANTA CLARA, CA"
DDA LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,17150 SAN MATEO ST # 9,ZEPHYR COVE,42200.0 | 35500.0 | 30000.0,
DEVPRI HOSPITALITY LLC,llc_or_corp; ppp_fraud_multiple_loans; ppp_rico_match; rico_evidence; suspicious_network_match,ppp_rico_matches; rico_evidence_matrix; suspicious_hb_network,16561 PACIFIC COAST HWY | 16220 PACIFIC COAST HWY,SUNSET BEACH,47900.0 | 115000.0 | 67100.0,"SUNSET BEACH, CA; Sunset Beach, CA"
DLC ENTERPRISES LLC,rico_evidence,rico_evidence_matrix,,,,
DNA INVESTMENTS LLC,rico_evidence,rico_evidence_matrix,,,,
DRIVE LLC,rico_evidence,rico_evidence_matrix,,,,
DRT INVESTMENTS LLC,llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,19900 BEACH BLVD | 16862 CORAL CAY LN,NEWPORT BEACH,24094.0,"Phoenix, AZ"
DRT LLC,high_ppp_amount; llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,16862 CORAL CAY LN,NEWPORT BEACH,357716.32,"ONTARIO, OR"
ERA VENTURES LLC,rico_evidence,rico_evidence_matrix,,,,
EVERSTONE CAPITAL LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,280 CAGNEY LN APT 116,NEWPORT COAST,146499.0,
FIRST HIGHLAND LLC,high_ppp_amount; llc_or_corp; ppp_rico_match; rico_evidence,ppp_rico_matches; rico_evidence_matrix,8171 COBBLESTONE LN # 4,WESTMINSTER,205800.0,"Windermere, FL"
FOCUS REALTY LLC,rico_evidence,rico_evidence_matrix,,,,
FRR LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,17711 CRABB LN | 17712 CRABB LN,SANTA FE SPRINGS,8600.0,
GALAXY MANAGEMENT LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,1100 QUAIL ST STE 212,NEWPORT COAST,25777.5 | 86400.0 | 14188.0 | 18413.5,
GARDEN RANCH LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,12888 WESTERN AVE,CONCORD,17807.0 | 19617.0,
GFM INVESTMENTS LLC,llc_or_corp; ppp_out_of_state; suspicious_network_match,suspicious_hb_network,1119 FLORIDA ST,GRAND PRAIRIE,19128.0,
GOLDEN HILLS PROPERTIES LLC,llc_or_corp; ppp_rico_match; rico_evidence; suspicious_network_match,ppp_rico_matches; rico_evidence_matrix; suspicious_hb_network,3335 W COAST HWY,BEVERLY HILLS,87500.0 | 88324.4,"Los Angeles, CA"
GOODWILL LLC,llc_or_corp; ppp_out_of_state; rico_evidence; suspicious_network_match,rico_evidence_matrix; suspicious_hb_network,12838 PALM ST UNIT 2,MT PROSPECT,7900.0 | 8500.0,
HAN LLC,rico_evidence,rico_evidence_matrix,,,,
