Owner1,SiteAddress,MailAddress,MailCity,LastSaleDate,LastSaleValue
ONNI HUNTINGTON BEACH LLC,7822 WARNER AVE,5055 N 32ND ST STE 200,PHOENIX,07/11/2019,97250000.0
ONNI HUNTINGTON BEACH LLC,17011 BEACH BLVD,5055 N 32ND ST STE 200,PHOENIX,07/11/2019,97250000.0
CORTE BELLA OWNER LLC TRUAMERICA,9531 SLATER AVE,21700 OXNARD ST STE 345,WOODLAND HILLS,08/29/2018,85750000.0
CORTE BELLA OWNER LLC TRUAMERICA,9543 DIXIE ST,21700 OXNARD ST STE 345,WOODLAND HILLS,08/29/2018,85750000.0
SENDERO RIVERBEND DRIVE LLC,8955 RIVERBEND DR,11050 SANTA MONICA BLVD # 2ND,LOS ANGELES,09/09/2021,70010000.0
SCG EDINGER PLAZA LLC,7600 EDINGER AVE,4 EMBARCADERO CTR STE 3300,SAN FRANCISCO,09/27/2018,65500000.0
SCG EDINGER PLAZA LLC,7490 EDINGER AVE,4 EMBARCADERO CTR STE 3300,SAN FRANCISCO,09/27/2018,65500000.0
SCG EDINGER PLAZA LLC,7542 EDINGER AVE,4 EMBARCADERO CTR STE 3300,SAN FRANCISCO,09/27/2018,65500000.0
HSRE OAKMONT HUNTINGTON BEACH LLC,18922 DELAWARE ST,PO BOX 92129,SOUTHLAKE,05/03/2021,38631500.0
PROLOGIS-EXCHANGE 5701 SKYLAB ROAD LLC,5701 SKYLAB RD,60 STATE ST STE 2200,BOSTON,09/22/2015,36750000.0
WSW SPRINGDALE FEE OWNER LLC,16171 SPRINGDALE ST,5567 RESEDA BLVD STE 330,TARZANA,07/11/2025,35000000.0
ADAMS MARKETPLACE LLC,20110 MAGNOLIA ST,PO BOX 1299,LAKE FOREST,06/02/2023,29200000.0
ADAMS MARKETPLACE LLC,9062 ADAMS AVE,PO BOX 1299,LAKE FOREST,06/02/2023,29200000.0
DUNBAR OLIVE LLC,19132 HUNTINGTON ST,841 APOLLO ST # 445,EL SEGUNDO,05/05/2022,28000000.0
WMYU LLC,17020 MAGNOLIA ST,5911 FRESCA DR,LA PALMA,03/07/2025,24500000.0
WMYU LLC,17070 MAGNOLIA ST,5911 FRESCA DR,LA PALMA,03/07/2025,24500000.0
WMYU LLC,17120 MAGNOLIA ST,5911 FRESCA DR,LA PALMA,03/07/2025,24500000.0
WMYU LLC,17046 MAGNOLIA ST,5911 FRESCA DR,LA PALMA,03/07/2025,24500000.0
WMYU LLC,17090 MAGNOLIA ST,5911 FRESCA DR,LA PALMA,03/07/2025,24500000.0
WMYU LLC,17130 MAGNOLIA ST,5911 FRESCA DR,LA PALMA,03/07/2025,24500000.0
BEL HUNTINGTON LLC,8891 ATLANTA AVE,11555 DUBLIN CANYON RD,PLEASANTON,07/03/2019,22311500.0
LTJ SKYLINE LLC,7500 MCFADDEN AVE,2775 ARROWHEAD CT,LAKE OSWEGO,03/10/2020,20000000.0
PILAND PROPERTIES II LLC,16555 BEACH BLVD,765 ATTITUDE AVE,DAYTONA BEACH,08/17/2016,17000000.0
WARNER MERMAID REALTY ASSOCIATES LLC,4935 WARNER AVE,PO BOX 56,HEWLETT,01/07/2015,16000000.0
19822 BROOKHURST LLC,19822 BROOKHURST ST,333 WASHINGTON BLVD # 142,MARINA DEL REY,11/18/2011,12730000.0
