llc_name,property_address,mailing_address,mail_city,APN,LastSeller,LastSaleDate,sale_price,ppp_borrower,ppp_city,ppp_state,ppp_amount,ppp_forgiven,ppp_date,ppp_status,BusinessType,NAICSCode,NonProfit,JobsReported,ppp_lender,orig_lender,lender_city,lender_state,days_property_to_ppp,is_out_of_state_ppp,is_out_of_state_mail
"LIDO HOUSE, LLC",3300 NEWPORT BLVD,RD OLSON DEVELOPMENT 520 NEWPORT CENTER DR STE 600,NEWPORT BEACH,988-069-68,",",,,LIDO HOUSE LLC,Newport Beach,CA,2000000.0,2017444.44,02/22/2021,Paid in Full,Limited  Liability Company(LLC),721110,,138.0,CommerceWest Bank,CommerceWest Bank,Irvine,CA,,False,False
"LIDO HOUSE, LLC",3300 NEWPORT BLVD,RD OLSON DEVELOPMENT 520 NEWPORT CENTER DR STE 600,NEWPORT BEACH,988-069-68,",",,,LIDO HOUSE LLC,NEWPORT BEACH,CA,1898800.0,1917524.28,04/14/2020,Paid in Full,Limited  Liability Company(LLC),721110,,138.0,CommerceWest Bank,CommerceWest Bank,Irvine,CA,,False,False
TRIUMVIRATE LLC,21951 BROOKHURST ST,9874 RARITAN AVE,FOUNTAIN VALLEY,151-234-09,"ROSELL, DAVID T; ROSELL, LORI L",11/19/2021,2800000.0,TRIUMVIRATE LLC,Anchorage,AK,852740.0,859751.42,02/17/2021,Paid in Full,Limited  Liability Company(LLC),721199,,33.0,"Community Banks of Colorado, A Division of",Bank of Jackson Hole Trust,Jackson,WY,-275,True,False
MNM GROUP LLC,18319 EUCLID ST,3251 E SLAUSON AVE,VERNON,932-882-04,"BSP E405 LLC,",12/30/2022,4700000.0,"MNM GROUP, LLC",LOS ANGELES,CA,647186.0,,04/30/2020,Paid in Full,Limited  Liability Company(LLC),423210,,62.0,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL,-974,False,True
TRIUMVIRATE LLC,21951 BROOKHURST ST,9874 RARITAN AVE,FOUNTAIN VALLEY,151-234-09,"ROSELL, DAVID T; ROSELL, LORI L",11/19/2021,2800000.0,"TRIUMVIRATE, LLC",ANCHORAGE,AK,619100.0,625841.31,04/09/2020,Paid in Full,Limited  Liability Company(LLC),713920,,12.0,"Community Banks of Colorado, A Division of",Bank of Jackson Hole Trust,Jackson,WY,-589,True,False
LAZER LLC,7782 RONALD DR,41156 CALLE SAN LEON,INDIO,165-302-05,"BOWDEN, JOHN M; BOWDEN, MARY SUE",04/19/2011,0.0,LAZER LLC,SADDLE RIVER,NJ,600000.0,,04/15/2020,Paid in Full,Limited  Liability Company(LLC),424330,,18.0,"TD Bank, National Association","TD Bank, National Association",WILMINGTON,DE,3284,True,True
AIMS LLC,16091 BEACH BLVD,15142 SOBEY RD,SARATOGA,142-082-35,"PACIFICLEWIS PROPERTIES,",01/18/2017,4600000.0,"AIMS, LLC",MISHAWAKA,IN,585527.0,593416.98,05/01/2020,Paid in Full,Limited  Liability Company(LLC),621399,,32.0,"JPMorgan Chase Bank, National Association","JPMorgan Chase Bank, National Association",CHICAGO,IL,1199,True,True
STEWART INDUSTRIES LLC,3311 BOUNTY CIR,1077 PACIFIC COAST HWY # 247,SEAL BEACH,178-431-14,"STEWART, JOSH; STEWART, BRENDA",05/04/2021,0.0,STEWART INDUSTRIES LLC,Battle Creek,MI,564165.0,568245.54,03/31/2021,Paid in Full,Limited  Liability Company(LLC),336211,,54.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,-34,True,False
STEWART INDUSTRIES LLC,3311 BOUNTY CIR,1077 PACIFIC COAST HWY # 247,SEAL BEACH,178-431-14,"STEWART, JOSH; STEWART, BRENDA",05/04/2021,0.0,STEWART INDUSTRIES LLC,BATTLE CREEK,MI,564162.5,569665.02,04/15/2020,Paid in Full,Limited  Liability Company(LLC),336211,,47.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,-384,True,False
NEWPORT LLC,4340 VON KARMAN AVE STE 205,640 N DIAMOND BAR BLVD,DIAMOND BAR,934-057-17,",",,,NEWPORT LLC,SAN FRANCISCO,CA,536590.0,540721.01,04/13/2020,Paid in Full,Limited  Liability Company(LLC),611710,,52.0,Synovus Bank,Synovus Bank,COLUMBUS,GA,,False,True
PACE RECOVERY CENTER LLC,528 16TH ST,3197 AIRPORT LOOP DR STE B,COSTA MESA,023-148-33,"BAROT, DIPTI S",07/27/2017,1400000.0,PACE RECOVERY CENTER LLC,NEWPORT BEACH,CA,510549.0,515612.53,05/01/2020,Paid in Full,Limited  Liability Company(LLC),624190,,49.0,"Wells Fargo Bank, National Association","Wells Fargo Bank, National Association",SIOUX FALLS,SD,1009,False,False
PACIFIC METALS GROUP LLC,829 HARBOR ISLAND DR,224 GLIDER CIR,CORONA,988-009-52,",",,,"PACIFIC METALS GROUP, LLC",Ontario,CA,381536.7,385634.3,01/30/2021,Paid in Full,Limited  Liability Company(LLC),336413,,35.0,American Business Bank,American Business Bank,Anaheim,CA,,False,True
MY VILLAGE LLC,12555 EUCLID ST APT 53,PO BOX 2247,ANAHEIM,930-536-39,"AADESS, LATIFA",11/26/2002,0.0,MYVILLAGE LLC,Nederland,CO,370030.0,374357.3,04/27/2020,Paid in Full,Limited  Liability Company(LLC),533110,,37.0,First-Citizens Bank & Trust Company,Silicon Valley Bridge Bank NA,SANTA CLARA,CA,6362,True,True
LIGHTHOUSE CAFE LLC,1600 W BALBOA BLVD,32565 GOLDEN LANTERN STE B,DANA POINT,988-007-96,",",,,LIGHTHOUSE CAFE LLC,Newport Beach,CA,366554.0,369265.5,02/07/2021,Paid in Full,Limited  Liability Company(LLC),722511,,39.0,"A10Capital, LLC","A10Capital, LLC",Boise,ID,,False,True
PACIFIC METALS GROUP LLC,829 HARBOR ISLAND DR,224 GLIDER CIR,CORONA,988-009-52,",",,,"PACIFIC METALS GROUP, LLC",ONTARIO,CA,364400.0,368313.56,04/14/2020,Paid in Full,Limited  Liability Company(LLC),332322,,36.0,American Business Bank,American Business Bank,Anaheim,CA,,False,True
DRT LLC,16862 CORAL CAY LN,20101 SW BIRCH ST STE 151,NEWPORT BEACH,178-653-37,"DRI LLC, ; DRT LLC,",07/29/1997,0.0,DRT LLC,ONTARIO,OR,357716.32,362048.12,04/28/2020,Paid in Full,Limited  Liability Company(LLC),423910,,24.0,Umpqua Bank,Umpqua Bank,Tacoma,WA,8309,True,False
INCUPLACE LLC,88 FAIR DR,PO BOX 3772,ALHAMBRA,988-007-23,",",,,INCUPLACE LLC,Marina del Rey,CA,301444.0,304062.02,02/20/2021,Paid in Full,Limited  Liability Company(LLC),722310,,13.0,"Harvest Small Business Finance, LLC","Harvest Small Business Finance, LLC",Laguna Hills,CA,,False,True
SWUN MATH LLC,19585 ELMRIDGE LN,10073 VALLEY VIEW ST # 116,CYPRESS,023-491-55,"STERUD, RON; AVERILL FAMILY TRUST,",09/02/2022,1412500.0,"SWUN MATH, LLC",CYPRESS,CA,294773.0,296339.74,04/30/2020,Paid in Full,Limited  Liability Company(LLC),611710,,22.0,Farmers & Merchants Bank of Long Beach,Farmers & Merchants Bank of Long Beach,LONG BEACH,CA,-855,False,True
INCUPLACE LLC,88 FAIR DR,PO BOX 3772,ALHAMBRA,988-007-23,",",,,INCUPLACE LLC,MARINA DEL REY,CA,287175.0,289330.78,04/28/2020,Paid in Full,Limited  Liability Company(LLC),541613,,12.0,Mega Bank,Mega Bank,SAN GABRIEL,CA,,False,True
COMPASSIONATE CARE HOSPICE LLC,17220 NEWHOPE ST STE 124,17220 NEWHOPE ST,FOUNTAIN VALLEY,938-780-18,"VAN DEUSEN, ELISHA B; VAN DEUSEN, LESLIE A",09/04/2018,419000.0,COMPASSIONATE CARE HOSPICE LLC,FOUNTAIN VALLEY,CA,279820.0,281636.91,05/01/2020,Paid in Full,Corporation,623110,,65.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,605,False,False
COMPASSIONATE CARE HOSPICE LLC,17220 NEWHOPE ST STE 123,17220 NEWHOPE ST,FOUNTAIN VALLEY,938-780-19,"VAN DEUSEN, ELISHA B; VAN DEUSEN, LESLIE A",09/04/2018,419000.0,COMPASSIONATE CARE HOSPICE LLC,FOUNTAIN VALLEY,CA,279820.0,281636.91,05/01/2020,Paid in Full,Corporation,623110,,65.0,"Bank of America, National Association","Bank of America, National Association",CHARLOTTE,NC,605,False,False
LIGHTHOUSE CAFE LLC,1600 W BALBOA BLVD,32565 GOLDEN LANTERN STE B,DANA POINT,988-007-96,",",,,"LIGHTHOUSE CAFE, LLC",Newport Beach,CA,256495.0,259397.26,04/28/2020,Paid in Full,Limited  Liability Company(LLC),722511,,18.0,"U.S. Bank, National Association",US Bank National Association,San Francisco,CA,,False,True
RAV LLC,1 MAIN ST,175 CHESTNUT ST,SAN FRANCISCO,988-150-06,",",,,RAV LLC,Myrtle Beach,SC,229100.0,231441.91,03/18/2021,Paid in Full,Limited Liability Partnership,722511,,40.0,South Atlantic Bank,South Atlantic Bank,MYRTLE BEACH,SC,,True,True
