"SITE NAMEFAC IDSTATUSSTATUS DATEADDRESSCITYSITE TYPELEAD AGENCYCASEWORKERAGE OF CASE17631 CAMERON LANE AND 17642 BEACH BLVDCOMPLETED - CASE CLOSED17631 AND 17642 CAMERON AND BEACH LNHUNTINGTON BEACHCLEANUP PROGRAM SITEORANGE COUNTY LOPIC SUPERVISOR4ARCO GUNITE, INC.COMPLETED - CASE CLOSED17592 METZLER LNHUNTINGTON BEACHLUST CLEANUP SITESANTA ANA RWQCB (REGION 8)38B W RANDALL COMPANYCOMPLETED - CASE CLOSED17332 GOTHARDHUNTINGTON BEACHLUST CLEANUP SITEORANGE COUNTY LOPGENIECE HIGGINS32BEACH BOULEVARD PROJECTCOMPLETED - CASE CLOSED17642 BEACH BOULEVARDHUNTINGTON BEACHCLEANUP PROGRAM SITEORANGE COUNTYTAMARA ESCOBEDO5BENT MANUFACTURINGCOMPLETED - CASE CLOSED17311 NICHOLS LNHUNTINGTON BEACHCLEANUP PROGRAM SITEORANGE COUNTY LOPIC SUPERVISOR11CHEVRON HUNTINGTON BEACH TERMINALOPEN - SITE ASSESSMENT17881 GOTHARD STREETHUNTINGTON BEACHCLEANUP PROGRAM SITESANTA ANA RWQCB (REGION 8)PAMELA YBARRA4CITY OF HUNTINGTON BEACH CORP YARDFA002395817371 GOTHARD STHUNTINGTON BEACHORANGE COUNTY ENVIRONMENTAL HEALTHCITY OF HUNTINGTON BEACH PARKSCOMPLETED - CASE CLOSED17581 GOTHARDHUNTINGTON BEACHLUST CLEANUP SITEORANGE COUNTY LOPGENIECE HIGGINS25DOTKEN ENGINEERINGCOMPLETED - CASE CLOSED17712 GOTHARDHUNTINGTON BEACHLUST CLEANUP SITEORANGE COUNTY LOPGENIECE HIGGINS35FORMER CARS YESCOMPLETED - CASE CLOSED17541 BEACHHUNTINGTON BEACHLUST CLEANUP SITEORANGE COUNTY LOPGENIECE HIGGINS31FRONTIER CALIFORNIA, INC.; SLATER COFA002475217551 GOTHARD STHUNTINGTON BEACHORANGE COUNTY ENVIRONMENTAL HEALTHG & M OIL #35OPEN - VERIFICATION MONITORING17501 BEACHHUNTINGTON BEACHLUST CLEANUP SITEORANGE COUNTY LOPTAMARA ESCOBEDO31G&M OIL CO. #124FA004064217472 BEACH BLVDHUNTINGTON BEACHORANGE COUNTY ENVIRONMENTAL HEALTHGENERAL TELEPHONE CO OF CALIFCOMPLETED - CASE CLOSED7242 SLATERHUNTINGTON BEACHLUST CLEANUP SITEORANGE COUNTY LOPGENIECE HIGGINS39GOLDEN WEST LAUNDRY AND VALET SERVICES, INC.OPEN - INACTIVE17862 JAMESTOWN LANEHUNTINGTON BEACHCLEANUP PROGRAM SITESANTA ANA RWQCB (REGION 8)13HI LEADCOMPLETED - CASE CLOSED7471 SLATER AVEHUNTINGTON BEACHCLEANUP PROGRAM SITEORANGE COUNTY LOPIC SUPERVISOR32HUNTINGTON BEACH DIAGNOSTIC IMAGING CTR.71003165NO FURTHER ACTION17822 BEACH BOULEVARD #101HUNTINGTON BEACHTIERED PERMITHUNTINGTON BEACH HOSPITALFA002506617772 BEACH BLVDHUNTINGTON BEACHORANGE COUNTY ENVIRONMENTAL HEALTHHUNTINGTON BEACH PARK MAINTFA002396217581 GOTHARD STHUNTINGTON BEACHORANGE COUNTY ENVIRONMENTAL HEALTHHUNTINGTON BEACH TERMINALCOMPLETED - CASE CLOSED17881 GOTHARD STHUNTINGTON BEACHLUST CLEANUP SITESANTA ANA RWQCB (REGION 8)PAMELA YBARRA40IMPORT AUTO REPAIRCOMPLETED - CASE CLOSED17721 BEACHHUNTINGTON BEACHLUST CLEANUP SITEORANGE COUNTY LOPGENIECE HIGGINS35JAMES LUMBER COCOMPLETED - CASE CLOSED17311 NICHOLSHUNTINGTON BEACHLUST CLEANUP SITEORANGE COUNTY LOPGENIECE HIGGINS37LOGI GRAPHICS, INC.71003292INACTIVE - NEEDS EVALUATION17592 METZLER LANEHUNTINGTON BEACHTIERED PERMITMERLE CADE PROPERTYCOMPLETED - CASE CLOSED17532 METZLER LNHUNTINGTON BEACHCLEANUP PROGRAM SITEORANGE COUNTY LOPIC SUPERVISOR13MOBIL #11-EBXCOMPLETED - CASE CLOSED17472 BEACHHUNTINGTON BEACHLUST CLEANUP SITEORANGE COUNTY LOPGENIECE HIGGINS33MOBIL #11-EBXCOMPLETED - CASE CLOSED17472 BEACH BLVDHUNTINGTON BEACHLUST CLEANUP SITEORANGE COUNTYORANGE COUNTY37MOBIL #18-EBXCOMPLETED - CASE CLOSED17472 BEACHHUNTINGTON BEACHLUST CLEANUP SITEORANGE COUNTY LOPGENIECE HIGGINS21MOBIL OILCOMPLETED - CASE CLOSED17472 BEACHHUNTINGTON BEACHLUST CLEANUP SITEORANGE COUNTY LOPGENIECE HIGGINS60NATIONAL LINEN SERVICE, INC.COMPLETED - CASE CLOSED17711 CRABB LNHUNTINGTON BEACHCLEANUP PROGRAM SITEORANGE COUNTY LOPIC SUPERVISOR25SOLDERMASK, INC.71003218INACTIVE - NEEDS EVALUATION17905 & 17875 METZLER LANEHUNTINGTON BEACHTIERED PERMITTARBY INCCOMPLETED - CASE CLOSED7601 WOODWIND DRHUNTINGTON BEACHCLEANUP PROGRAM SITEORANGE COUNTY LOPIC SUPERVISOR35",SITE NAME,FAC ID,STATUS,STATUS DATE,ADDRESS,CITY,SITE TYPE,LEAD AGENCY,CASEWORKER,AGE OF CASE
,17631 CAMERON LANE AND 17642 BEACH BLVD,,COMPLETED - CASE CLOSED,,17631 AND 17642 CAMERON AND BEACH LN,HUNTINGTON BEACH,CLEANUP PROGRAM SITE,ORANGE COUNTY LOP,IC SUPERVISOR,4
,"ARCO GUNITE, INC.",,COMPLETED - CASE CLOSED,,17592 METZLER LN,HUNTINGTON BEACH,LUST CLEANUP SITE,SANTA ANA RWQCB (REGION 8),,38
,B W RANDALL COMPANY,,COMPLETED - CASE CLOSED,,17332 GOTHARD,HUNTINGTON BEACH,LUST CLEANUP SITE,ORANGE COUNTY LOP,GENIECE HIGGINS,32
,BEACH BOULEVARD PROJECT,,COMPLETED - CASE CLOSED,,17642 BEACH BOULEVARD,HUNTINGTON BEACH,CLEANUP PROGRAM SITE,ORANGE COUNTY,TAMARA ESCOBEDO,5
,BENT MANUFACTURING,,COMPLETED - CASE CLOSED,,17311 NICHOLS LN,HUNTINGTON BEACH,CLEANUP PROGRAM SITE,ORANGE COUNTY LOP,IC SUPERVISOR,11
,CHEVRON HUNTINGTON BEACH TERMINAL,,OPEN - SITE ASSESSMENT,,17881 GOTHARD STREET,HUNTINGTON BEACH,CLEANUP PROGRAM SITE,SANTA ANA RWQCB (REGION 8),PAMELA YBARRA,4
,CITY OF HUNTINGTON BEACH CORP YARD,FA0023958,,,17371 GOTHARD ST,HUNTINGTON BEACH,,ORANGE COUNTY ENVIRONMENTAL HEALTH,,
,CITY OF HUNTINGTON BEACH PARKS,,COMPLETED - CASE CLOSED,,17581 GOTHARD,HUNTINGTON BEACH,LUST CLEANUP SITE,ORANGE COUNTY LOP,GENIECE HIGGINS,25
,DOTKEN ENGINEERING,,COMPLETED - CASE CLOSED,,17712 GOTHARD,HUNTINGTON BEACH,LUST CLEANUP SITE,ORANGE COUNTY LOP,GENIECE HIGGINS,35
,FORMER CARS YES,,COMPLETED - CASE CLOSED,,17541 BEACH,HUNTINGTON BEACH,LUST CLEANUP SITE,ORANGE COUNTY LOP,GENIECE HIGGINS,31
,"FRONTIER CALIFORNIA, INC.; SLATER CO",FA0024752,,,17551 GOTHARD ST,HUNTINGTON BEACH,,ORANGE COUNTY ENVIRONMENTAL HEALTH,,
,G & M OIL #35,,OPEN - VERIFICATION MONITORING,,17501 BEACH,HUNTINGTON BEACH,LUST CLEANUP SITE,ORANGE COUNTY LOP,TAMARA ESCOBEDO,31
,G&M OIL CO. #124,FA0040642,,,17472 BEACH BLVD,HUNTINGTON BEACH,,ORANGE COUNTY ENVIRONMENTAL HEALTH,,
,GENERAL TELEPHONE CO OF CALIF,,COMPLETED - CASE CLOSED,,7242 SLATER,HUNTINGTON BEACH,LUST CLEANUP SITE,ORANGE COUNTY LOP,GENIECE HIGGINS,39
,"GOLDEN WEST LAUNDRY AND VALET SERVICES, INC.",,OPEN - INACTIVE,,17862 JAMESTOWN LANE,HUNTINGTON BEACH,CLEANUP PROGRAM SITE,SANTA ANA RWQCB (REGION 8),,13
,HI LEAD,,COMPLETED - CASE CLOSED,,7471 SLATER AVE,HUNTINGTON BEACH,CLEANUP PROGRAM SITE,ORANGE COUNTY LOP,IC SUPERVISOR,32
,HUNTINGTON BEACH DIAGNOSTIC IMAGING CTR.,71003165,NO FURTHER ACTION,,17822 BEACH BOULEVARD #101,HUNTINGTON BEACH,TIERED PERMIT,,,
,HUNTINGTON BEACH HOSPITAL,FA0025066,,,17772 BEACH BLVD,HUNTINGTON BEACH,,ORANGE COUNTY ENVIRONMENTAL HEALTH,,
,HUNTINGTON BEACH PARK MAINT,FA0023962,,,17581 GOTHARD ST,HUNTINGTON BEACH,,ORANGE COUNTY ENVIRONMENTAL HEALTH,,
,HUNTINGTON BEACH TERMINAL,,COMPLETED - CASE CLOSED,,17881 GOTHARD ST,HUNTINGTON BEACH,LUST CLEANUP SITE,SANTA ANA RWQCB (REGION 8),PAMELA YBARRA,40
,IMPORT AUTO REPAIR,,COMPLETED - CASE CLOSED,,17721 BEACH,HUNTINGTON BEACH,LUST CLEANUP SITE,ORANGE COUNTY LOP,GENIECE HIGGINS,35
,JAMES LUMBER CO,,COMPLETED - CASE CLOSED,,17311 NICHOLS,HUNTINGTON BEACH,LUST CLEANUP SITE,ORANGE COUNTY LOP,GENIECE HIGGINS,37
,"LOGI GRAPHICS, INC.",71003292,INACTIVE - NEEDS EVALUATION,,17592 METZLER LANE,HUNTINGTON BEACH,TIERED PERMIT,,,
,MERLE CADE PROPERTY,,COMPLETED - CASE CLOSED,,17532 METZLER LN,HUNTINGTON BEACH,CLEANUP PROGRAM SITE,ORANGE COUNTY LOP,IC SUPERVISOR,13
,MOBIL #11-EBX,,COMPLETED - CASE CLOSED,,17472 BEACH,HUNTINGTON BEACH,LUST CLEANUP SITE,ORANGE COUNTY LOP,GENIECE HIGGINS,33
,MOBIL #11-EBX,,COMPLETED - CASE CLOSED,,17472 BEACH BLVD,HUNTINGTON BEACH,LUST CLEANUP SITE,ORANGE COUNTY,ORANGE COUNTY,37
,MOBIL #18-EBX,,COMPLETED - CASE CLOSED,,17472 BEACH,HUNTINGTON BEACH,LUST CLEANUP SITE,ORANGE COUNTY LOP,GENIECE HIGGINS,21
,MOBIL OIL,,COMPLETED - CASE CLOSED,,17472 BEACH,HUNTINGTON BEACH,LUST CLEANUP SITE,ORANGE COUNTY LOP,GENIECE HIGGINS,60
