Listing,Date,Keyword,State,City,Category,Sub Category,Listing URL,Potential,Numbered Date,Country, Date Searched
1957 CHEVY BEL AIR CAR OR STATION WAGON FRONT FENDERS, Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, Texas, El Paso, For Sale-Wanted, Auto Parts by Owner, https://elpaso.craigslist.org/pts/d/el-paso-1957-chevy-bel-air-car-or/7012285935.html,,2019-11-21,US,2019-11-21
The Maison Royale de Saint-Louis was a school for girls located in Sai, Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, District of Columbia, Washington, For Sale-Wanted, Cell Phones, https://washingtondc.craigslist.org/nva/mob/d/arlington-the-maison-royale-de-saint/7005316847.html,,2019-11-21,US,2019-11-21
tiene una hermana mayor Vados que, Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, District of Columbia, Washington, For Sale-Wanted, Cell Phones, https://washingtondc.craigslist.org/doc/mob/d/washington-tiene-una-hermana-mayor/7005588172.html,,2019-11-21,US,2019-11-21
3 Dip the needle or rod in adhesive. Then gently insert the needle, Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, District of Columbia, Washington, For Sale-Wanted, Cell Phones, https://washingtondc.craigslist.org/nva/mob/d/woodbridge-3-dip-the-needle-or-rod-in/7013994327.html,Want,2019-11-21,US,2019-11-21
lines are all closed will be a closed, Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, District of Columbia, Washington, For Sale-Wanted, Cell Phones, https://washingtondc.craigslist.org/doc/mob/d/washington-lines-are-all-closed-will-be/7024274562.html,,2019-11-21,US,2019-11-21
2 LOTS10-UNIT RTI DEVELOPMENT..., Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, California, Los Angeles, For Sale-Wanted, General, https://losangeles.craigslist.org/lac/for/d/north-hollywood-2-lots10-unit-rti/7024382270.html,,2019-11-21,US,2019-11-21
2 LOTS10-UNIT RTI DEVELOPMENT..., Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, California, Los Angeles, For Sale-Wanted, General, https://losangeles.craigslist.org/lac/for/d/north-hollywood-2-lots10-unit-rti/7024382668.html,,2019-11-21,US,2019-11-21
Cozy Log home near UAF, Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, Alaska, Fairbanks, For Sale-Wanted, General, https://fairbanks.craigslist.org/for/d/fairbanks-cozy-log-home-near-uaf/7024489195.html,,2019-11-21,US,2019-11-21
WE BUY ALL USED AND NEW NETWORKINGTELECOMDATA EQUIPMENT., Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, Nevada, Las Vegas, For Sale-Wanted, Wanted, https://lasvegas.craigslist.org/wan/d/las-vegas-we-buy-all-used-and-new/7014561166.html,,2019-11-21,US,2019-11-21
BUY TEST SURVEY&CONSTRUCTION EQUIPMENT GASPOWERENERGYAUTOMATIC TOOL, Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, Nevada, Las Vegas, For Sale-Wanted, Wanted, https://lasvegas.craigslist.org/wan/d/las-vegas-buy-test-surveyconstruction/7014559690.html,,2019-11-21,US,2019-11-21
WANTED: Networking/Telecom/Data Equipment and software, Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, Nevada, Las Vegas, For Sale-Wanted, Wanted, https://lasvegas.craigslist.org/wan/d/las-vegas-wanted-networking-telecom/7014561934.html,Want,2019-11-21,US,2019-11-21
BUY TEST SURVEY&CONSTRUCTION EQUIPMENT GASPOWERENERGYAUTOMATIC TOOL, Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, Nevada, Las Vegas, For Sale-Wanted, Wanted, https://lasvegas.craigslist.org/wan/d/las-vegas-buy-test-surveyconstruction/7014558594.html,,2019-11-21,US,2019-11-21
Ram 1500 and dakota grill, Nov 21, &excats=134-40&min_price=2000000&max_price=5000000, Arkansas, Fayetteville, For Sale-Wanted, Auto Parts by Owner, https://fayar.craigslist.org/pts/d/fayetteville-ram-1500-and-dakota-grill/7024221062.html,,2019-11-21,US,2019-11-21
