llc_name,property_address,mail_city,last_sale_value,ppp_loan_count,ppp_total_amount,ppp_total_forgiven,ppp_names_matched,loan_details,loan_locations,loan_statuses
STEWART INDUSTRIES LLC,3311 BOUNTY CIR,SEAL BEACH,0.0,2,1128327.5,1137910.56,STEWART INDUSTRIES LLC,$564163 on 04/15/2020; $564165 on 03/31/2021,"Battle Creek, MI; BATTLE CREEK, MI",Paid in Full
TRIUMVIRATE LLC,21951 BROOKHURST ST,FOUNTAIN VALLEY,2800000.0,3,869677.05,876837.63,TRIUMVIRATE LLC,$852740 on 02/17/2021; $9237 on 04/10/2021; $7700 on 04/15/2020,"Anchorage, AK; CHEYENNE, WY; Cheyenne, WY",Paid in Full
LAZER LLC,7782 RONALD DR,INDIO,0.0,1,600000.0,,LAZER LLC,$600000 on 04/15/2020,"SADDLE RIVER, NJ",Paid in Full
INCUPLACE LLC,88 FAIR DR,ALHAMBRA,,2,588619.0,593392.8,INCUPLACE LLC,$287175 on 04/28/2020; $301444 on 02/20/2021,"Marina del Rey, CA; MARINA DEL REY, CA",Paid in Full
HB LLC,9472 RAMBLER DR,EDMONDS,1127000.0,8,570233.0,566910.82,HB LLC,$34922 on 03/03/2021; $34923 on 04/15/2020; $146130 on 02/11/2021; $193170 on 04/15/2020; $30900 on 01/30/2021; $16882 on 03/26/2021; $105100 on 04/09/2020; $8206 on 05/12/2021,"Fairfax, VA; Denver, CO; Wichita, KS; Las Vegas, NV; PROVIDENCE, RI; Long Beach, CA; LAS VEGAS, NV; LONG BEACH, CA",Charged Off; Paid in Full
NEWPORT LLC,4340 VON KARMAN AVE STE 205,DIAMOND BAR,,1,536590.0,540721.01,NEWPORT LLC,$536590 on 04/13/2020,"SAN FRANCISCO, CA",Paid in Full
PACE RECOVERY CENTER LLC,528 16TH ST,COSTA MESA,1400000.0,1,510549.0,515612.53,PACE RECOVERY CENTER LLC,$510549 on 05/01/2020,"NEWPORT BEACH, CA",Paid in Full
DBS-ENTERPRISES LLC,2881 COAST CIR APT A,LAS VEGAS,1780000.0,6,408982.37,279508.82,DBS ENTERPRISES LLC,$14408 on 04/08/2021; $53826 on 02/10/2021; $51455 on 05/05/2020; $78694 on 04/28/2020; $131908 on 04/15/2020; $78692 on 03/20/2021,"Camden Wyoming, DE; Chugiak, AK; CAMDEN WYOMING, DE; Miller, SD; SANTA CLARA, CA",Paid in Full
RAV LLC,1 MAIN ST,SAN FRANCISCO,,2,392800.0,397374.6,RAV LLC,$229100 on 03/18/2021; $163700 on 04/08/2020,"Myrtle Beach, SC; MYRTLE BEACH, SC",Paid in Full
DRT LLC,16862 CORAL CAY LN,NEWPORT BEACH,0.0,2,381116.32,385748.15,DRT LLC,$23400 on 04/28/2020; $357716 on 04/28/2020,"ONTARIO, OR; BYRON CENTER, MI",Paid in Full
2450 COLORADO BLVD LLC,16255 PACIFIC CIR APT 306,SANDY,385000.0,2,376000.0,,2450 COLORADO BLVD LLC,$188000 on 06/17/2020; $188000 on 03/12/2021,"Chatsworth, CA",Exemption 4
THE LE FAMILY LLC,16752 JEFFREY CIR,CORONA,0.0,2,366700.0,371325.67,THE LE FAMILY LLC,$213900 on 02/12/2021; $152800 on 04/15/2020,"KILLEEN, TX; Killeen, TX",Paid in Full
LIGHTHOUSE CAFE LLC,1600 W BALBOA BLVD,DANA POINT,,1,366554.0,369265.5,LIGHTHOUSE CAFE LLC,$366554 on 02/07/2021,"Newport Beach, CA",Paid in Full
COMPASSIONATE CARE HOSPICE LLC,17220 NEWHOPE ST STE 123,FOUNTAIN VALLEY,419000.0,1,279820.0,281636.91,COMPASSIONATE CARE HOSPICE LLC,$279820 on 05/01/2020,"FOUNTAIN VALLEY, CA",Paid in Full
COMPASSIONATE CARE HOSPICE LLC,17220 NEWHOPE ST STE 124,FOUNTAIN VALLEY,419000.0,1,279820.0,281636.91,COMPASSIONATE CARE HOSPICE LLC,$279820 on 05/01/2020,"FOUNTAIN VALLEY, CA",Paid in Full
RMI MANAGEMENT LLC,17191 KAMPEN LN,NEWPORT BEACH,620000.0,1,217702.0,220600.72,RMI MANAGEMENT LLC,$217702 on 04/06/2020,"LONGVIEW, TX",Paid in Full
FIRST HIGHLAND LLC,8171 COBBLESTONE LN # 4,WESTMINSTER,0.0,1,205800.0,207040.44,FIRST HIGHLAND LLC,$205800 on 01/30/2021,"Windermere, FL",Paid in Full
INFINITY PROPERTIES LLC,775 W 17TH ST STE E,NEWPORT BEACH,901500.0,2,162785.0,164536.3,INFINITY PROPERTIES LLC,$93200 on 04/08/2020; $69585 on 01/19/2021,"Mounds, OK; MOUNDS, OK",Paid in Full
EVERSTONE CAPITAL LLC,280 CAGNEY LN APT 116,NEWPORT COAST,900000.0,1,146499.0,,EVERSTONE CAPITAL LLC,$146499 on 05/19/2020,"NEW YORK, NY",Paid in Full
BARAKAH LLC,8161 SAN ANGELO DR,WESTMINSTER,0.0,4,144593.0,145862.03,BARAKAH LLC,$40770 on 05/01/2020; $35553 on 02/04/2021; $27500 on 04/28/2020; $40770 on 01/25/2021,"Renton, WA; CHANHASSEN, MN; Chanhassen, MN; TACOMA, WA",Paid in Full
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,NEWPORT COAST,210000.0,3,130591.0,131525.38,GALAXY MANAGEMENT LLC,$86400 on 01/22/2021; $25778 on 02/05/2021; $18414 on 04/28/2020,"CHARLOTTE, NC; Webster, MA; Charlotte, NC",Paid in Full
A & D LLC,5821 VIEW CIR,FOUNTAIN VALLEY,0.0,2,123236.47,123835.54,A & D LLC,$67912 on 02/23/2021; $55324 on 02/19/2021,"Phoenix, AZ; Asheville, NC",Paid in Full
AGHA LLC,7852 RONALD DR,NEWPORT BEACH,0.0,2,117457.0,118388.44,AGHA LLC,$67712 on 05/01/2020; $49745 on 01/30/2021,"Blauvelt, NY; BLAUVELT, NY",Paid in Full
NEWPORT BEACH GOLF COURSE LLC,119-200 IRVINE BLVD,NEWPORT BEACH,,1,115400.0,116402.24,NEWPORT BEACH GOLF COURSE LLC,$115400 on 04/15/2020,"NEWPORT BEACH, CA",Paid in Full
DEVPRI HOSPITALITY LLC,16220 PACIFIC COAST HWY,SUNSET BEACH,1700000.0,2,115000.0,116052.33,DEVPRI HOSPITALITY LLC,$67100 on 03/13/2021; $47900 on 04/09/2020,"SUNSET BEACH, CA; Sunset Beach, CA",Paid in Full
DEVPRI HOSPITALITY LLC,16561 PACIFIC COAST HWY,SUNSET BEACH,0.0,2,115000.0,116052.33,DEVPRI HOSPITALITY LLC,$67100 on 03/13/2021; $47900 on 04/09/2020,"Sunset Beach, CA; SUNSET BEACH, CA",Paid in Full
DDA LLC,17150 SAN MATEO ST # 9,ZEPHYR COVE,0.0,3,107700.0,108600.5,DDA LLC,$42200 on 04/13/2020; $35500 on 01/25/2021; $30000 on 05/02/2020,"Fairlawn, NJ; Louisville, KY; LOUISVILLE, KY",Paid in Full
GOLDEN HILLS PROPERTIES LLC,3335 W COAST HWY,BEVERLY HILLS,,1,88324.4,88842.08,GOLDEN HILLS PROPERTIES LLC,$88324 on 01/28/2021,"Los Angeles, CA",Paid in Full
DRIVE LLC,3080 AIRWAY AVE STE 104,NEWPORT BEACH,,3,70357.0,70852.89,DRIVE LLC,$21600 on 05/01/2020; $22557 on 03/12/2021; $26200 on 04/06/2020,"HUBBARD, OH; Hubbard, OH; NIXA, MO",Paid in Full
JBH LLC,711 W 17TH ST # 19,NORTH TUSTIN,0.0,3,69474.0,70285.94,JBH LLC,$20607 on 04/27/2020; $20800 on 05/19/2020; $28067 on 04/29/2020,"PHOENIX, AZ; DALTON, PA; Falls Church, VA",Paid in Full
