state,pit_count,sheltered,unsheltered,cps_est,gap,coc_funding,coc_number,coc_name,ppp_total,forensic_flags,env_sites,pipeline_hud,pipeline_sba,pipeline_cares,pipeline_hhs,lat,lng
HI,4028,1720,2308,25175,21147,0.0,,,3808961010.1499996,0,0,False,True,False,False,21.3,-157.8
ID,687,450,237,4293,3606,0.0,,,3500936522.57,0,0,False,True,False,False,44.1,-114.6
CT,1850,1500,350,11562,9712,0.0,,,9902545515.869995,0,0,False,True,False,False,41.6,-72.7
PA,4725,4000,725,29531,24806,0.0,,,30470247443.319992,0,0,False,True,True,False,40.6,-77.8
NM,2394,1500,894,14962,12568,0.0,,,3380484555.2199993,0,0,False,True,False,False,34.4,-106.0
ND,610,480,130,3812,3202,0.0,,,2893794920.529999,0,0,False,True,False,False,47.3,-99.5
GA,2679,1840,839,16743,14064,0.0,,,24875193368.26004,0,0,False,True,True,False,32.6,-83.5
NY,88025,84000,4025,550156,462131,142000000.0,NY-600,,60727938521.9101,0,0,True,True,True,False,42.9,-75.8
MD,1597,1200,397,9981,8384,0.0,,,14970145242.17999,0,0,False,True,False,False,39.1,-76.8
VA,545,420,125,3406,2861,0.0,,,17971823861.289993,0,0,False,True,False,False,37.5,-78.5
LA,1390,850,540,8687,7297,0.0,,,12190835748.469986,0,0,False,True,False,False,31.1,-92.2
RI,1810,1500,310,11312,9502,0.0,,,2877987896.59,0,0,False,True,False,False,41.6,-71.5
IA,612,550,62,3825,3213,0.0,,,8085036199.940006,0,0,False,True,False,False,42.0,-93.5
KS,702,580,122,4387,3685,0.0,,,7380991444.419994,0,0,False,True,False,False,38.5,-98.4
UT,3687,2800,887,23043,19356,0.0,,,7057337275.669994,0,0,False,True,False,False,39.3,-111.7
NE,1354,1150,204,8462,7108,0.0,,,5380188069.529984,0,0,False,True,False,False,41.5,-99.6
OR,6279,2300,3979,39243,32964,0.0,,,10067070284.14,0,0,False,True,False,False,44.0,-120.5
NC,2145,1600,545,13406,11261,0.0,,,17661885347.34999,0,0,False,True,False,False,35.5,-79.1
OH,1105,890,215,6906,5801,0.0,,,27191323853.52999,0,0,False,True,True,False,40.3,-82.9
CA,71320,18414,52906,445750,374430,155000000.0,CA-600,,103157155708.95065,7,2,True,True,True,True,36.8,-119.7
TX,4244,3100,1144,26525,22281,38000000.0,TX-600,,62748970400.60025,0,0,True,True,True,False,31.4,-99.2
OK,1436,950,486,8975,7539,0.0,,,8326919855.759985,0,0,False,True,False,False,35.5,-97.5
MN,3051,2400,651,19068,16017,0.0,,,16575348327.129986,0,0,False,True,False,False,46.0,-94.2
TN,1474,1100,374,9212,7738,0.0,,,13368930424.979967,0,0,False,True,False,False,35.8,-86.4
AL,1124,820,304,7025,5901,12500000.0,AL-500,,9414668018.610018,0,0,True,True,False,False,32.8,-86.8
CO,9065,6290,2775,56656,47591,0.0,,,15060294577.459997,0,0,False,True,False,False,39.0,-105.5
AR,545,380,165,3406,2861,0.0,,,4996545472.989983,0,0,False,True,False,False,34.7,-92.3
AK,1422,1200,222,8887,7465,3400000.0,AK-500,,2047297770.1799984,0,0,True,True,False,False,61.4,-149.5
MI,1247,1050,197,7793,6546,0.0,,,24132691928.879993,0,0,False,True,True,False,44.7,-84.7
ME,4258,3800,458,26612,22354,0.0,,,3253534958.000001,0,0,False,True,False,False,44.7,-69.4
AZ,9642,4612,5030,60262,50620,42100000.0,AZ-500,,12387225935.8601,0,0,True,True,True,False,33.5,-112.1
SD,1245,950,295,7781,6536,0.0,,,2728962391.329996,0,0,False,True,False,False,44.3,-99.5
WI,830,750,80,5187,4357,0.0,,,14219753030.70996,0,0,False,True,False,False,44.3,-89.7
MT,1585,1100,485,9906,8321,0.0,,,2592005738.9699984,0,0,False,True,False,False,46.9,-110.5
FL,2314,1510,804,14462,12148,1800000.0,FL-507,,50056342105.290115,0,0,True,True,True,False,28.1,-81.7
NV,6566,2560,4006,41037,34471,0.0,,,6822199621.77,0,0,False,True,False,False,39.1,-116.7
MO,1256,980,276,7850,6594,0.0,,,13714386494.439964,0,0,False,True,False,False,38.4,-92.4
MS,523,310,213,3268,2745,0.0,,,5428947111.870001,0,0,False,True,False,False,32.8,-89.7
NJ,10267,8500,1767,64168,53901,0.0,,,25590773364.39001,0,0,False,True,True,False,40.2,-74.6
IN,1619,1200,419,10118,8499,0.0,,,13838833489.000002,0,0,False,True,False,False,39.9,-86.2
NH,1605,1300,305,10031,8426,0.0,,,3706282285.250001,0,0,False,True,False,False,43.7,-71.6
IL,6139,4100,2039,38368,32229,0.0,,,37301101549.9404,0,0,False,True,True,False,40.0,-89.4
SC,458,320,138,2862,2404,0.0,,,8676470103.649998,0,0,False,True,False,False,33.8,-80.9
MA,5231,4800,431,32693,27462,0.0,,,21080310515.389988,0,0,False,True,False,False,42.2,-71.8
WY,532,380,152,3325,2793,0.0,,,1640992929.0800002,0,0,False,True,False,False,42.8,-107.3
DE,1245,1100,145,7781,6536,0.0,,,2259690326.78,0,0,False,True,False,False,39.0,-75.5
KY,1374,980,394,8587,7213,0.0,,,7798914153.129998,0,0,False,True,False,False,37.6,-85.2
VT,3295,2900,395,20593,17298,0.0,,,1762489685.7099998,0,0,False,True,False,False,44.1,-72.7
WA,14142,6214,7928,88387,74245,58900000.0,WA-500,,18261098555.96,0,0,True,True,True,False,47.4,-121.5
WV,824,610,214,5150,4326,0.0,,,2600386895.5300007,0,0,False,True,False,False,38.6,-80.5
