owner_name,property_address,mailing_address,mail_city,APN,LastSaleDate,LastSaleValue,BorrowerName,ppp_city,ppp_state,CurrentApprovalAmount,ForgivenessAmount,LoanStatus,DateApproved,OriginatingLender,OriginatingLenderState,NAICSCode,BusinessType
FRR LLC,17711 CRABB LN,12304 MCCANN DR,SANTA FE SPRINGS,165-291-14,,0.0,FRR LLC,Burlington,IA,8600.0,8676.21,Paid in Full,02/17/2021,MidWestOne Bank,IA,238220,Limited  Liability Company(LLC)
FRR LLC,17712 CRABB LN,12304 MCCANN DR,SANTA FE SPRINGS,165-291-15,,0.0,FRR LLC,Burlington,IA,8600.0,8676.21,Paid in Full,02/17/2021,MidWestOne Bank,IA,238220,Limited  Liability Company(LLC)
KL INDUSTRIES LLC,711 W 17TH ST # 18,711 W 17TH ST STE B7,COSTA MESA,939-830-18,10/11/1995,0.0,"K & L INDUSTRIES, LLC",ZWINGLE,IA,6700.0,6751.92,Paid in Full,04/27/2020,Dupaco Community CU,IA,811111,Limited  Liability Company(LLC)
BARAKAH LLC,8161 SAN ANGELO DR,9581 WESTWOOD DR,WESTMINSTER,107-773-08,06/08/2007,0.0,BARAKAH LLC,Chanhassen,MN,35553.0,35858.16,Paid in Full,02/04/2021,First Western Bank & Trust,ND,722513,Corporation
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,3 RIEZ,NEWPORT COAST,938-941-60,08/29/2014,210000.0,GALAXY MANAGEMENT LLC,Webster,MA,86400.0,86977.58,Paid in Full,01/22/2021,bankHometown,MA,541310,Limited  Liability Company(LLC)
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,06/04/2019,1127000.0,H & B LLC,CALMAR,IA,2300.0,2320.25,Paid in Full,05/01/2020,CUSB Bank,IA,531120,Limited  Liability Company(LLC)
MRB ENTERPRISES LLC,826 BRICKYARD LN # 8,825 BRICKYARD LN,COSTA MESA,937-782-53,,,"MRB ENTERPRISES, LLC",Andover,MA,13470.0,10322.03,Paid in Full,05/05/2020,"Kabbage, Inc.",GA,519130,Limited  Liability Company(LLC)
MRB ENTERPRISES LLC,826 BRICKYARD LN # 8,825 BRICKYARD LN,COSTA MESA,937-782-53,,,"MRB ENTERPRISES, LLC",ONAWA,IA,68000.0,68495.56,Paid in Full,04/08/2020,United Bank of Iowa,IA,238350,Limited  Liability Company(LLC)
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,3 RIEZ,NEWPORT COAST,938-941-60,08/29/2014,210000.0,"GALAXY MANAGEMENT, LLC",Conyers,GA,14188.0,,Exemption 4,03/10/2021,Farmers and Merchants Bank,GA,561110,Limited  Liability Company(LLC)
LOTUS PROPERTIES LLC,14472 SPA DR,18391 OLD LAMPLIGHTER CIR,VILLA PARK,195-195-13,05/06/2021,0.0,LOTUS PROPERTIES LLC,SPRING,TX,20265.0,20534.27,Paid in Full,05/01/2020,"Wells Fargo Bank, National Association",SD,531120,Limited  Liability Company(LLC)
SDR LLC,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,03/12/2020,770000.0,SD&R LLC,SOUTHLAKE,TX,69600.0,70425.53,Paid in Full,04/07/2020,Origin Bank,LA,236118,Limited  Liability Company(LLC)
SDR LLC,15421 HANOVER LN,8861 KATELLA AVE,ANAHEIM,145-151-16,,0.0,SD&R LLC,SOUTHLAKE,TX,69600.0,70425.53,Paid in Full,04/07/2020,Origin Bank,LA,236118,Limited  Liability Company(LLC)
SDR LLC,16691 BARTLETT LN,8861 KATELLA AVE,ANAHEIM,142-412-08,,0.0,SD&R LLC,SOUTHLAKE,TX,69600.0,70425.53,Paid in Full,04/07/2020,Origin Bank,LA,236118,Limited  Liability Company(LLC)
SDR LLC,6561 SORENTO CIR,18437 STONEGATE LN,ROWLAND HEIGHTS,145-181-09,,0.0,SD&R LLC,SOUTHLAKE,TX,69600.0,70425.53,Paid in Full,04/07/2020,Origin Bank,LA,236118,Limited  Liability Company(LLC)
DRIVE LLC,3080 AIRWAY AVE STE 104,PO BOX 3639,NEWPORT BEACH,938-980-55,,,DRIVE LLC,NIXA,MO,26200.0,26370.84,Paid in Full,04/06/2020,The Bank of Missouri,MO,484121,Limited  Liability Company(LLC)
NEWPORT LLC,4340 VON KARMAN AVE STE 205,640 N DIAMOND BAR BLVD,DIAMOND BAR,934-057-17,,,NEW PORT LLC,ROLLING MEADOWS,IL,20000.0,20097.22,Paid in Full,04/10/2020,East West Bank,CA,523999,Limited  Liability Company(LLC)
SUBURBAN PROPERTIES LLC,9679 ELLIS AVE,10529 SLATER AVE,FOUNTAIN VALLEY,157-054-58,06/15/2015,0.0,SUBURBAN PROPERTIES LLC,Batavia,IL,26047.0,26161.32,Paid in Full,02/03/2021,"Resource Bank, National Association",IL,488190,Limited  Liability Company(LLC)
SUBURBAN PROPERTIES LLC,9679 ELLIS AVE,10529 SLATER AVE,FOUNTAIN VALLEY,157-054-58,06/15/2015,0.0,"SUBURBAN PROPERTIES, LLC",SUGAR GROVE,IL,24500.0,24638.15,Paid in Full,04/10/2020,"Resource Bank, National Association",IL,488190,Limited  Liability Company(LLC)
HB LLC,9472 RAMBLER DR,16340 75TH PL W,EDMONDS,149-053-07,06/04/2019,1127000.0,"HB, LLC",WICHITA,KS,22500.0,22683.75,Paid in Full,04/09/2020,Community National Bank & Trust,KS,721110,Limited  Liability Company(LLC)
RAV LLC,1 MAIN ST,175 CHESTNUT ST,SAN FRANCISCO,988-150-06,,,R-A-V LLC,LINCOLN,NE,39200.0,39433.02,Paid in Full,04/14/2020,Midwest Bank,NE,532111,Limited  Liability Company(LLC)
DDA LLC,17150 SAN MATEO ST # 9,PO BOX 722,ZEPHYR COVE,930-294-09,04/10/2009,0.0,DDA LLC,Fairlawn,NJ,30000.0,30362.5,Paid in Full,05/02/2020,"TD Bank, National Association",DE,488210,Limited  Liability Company(LLC)
AGHA LLC,7852 RONALD DR,16 GENEVE,NEWPORT BEACH,165-302-12,06/30/2021,0.0,AGHA LLC,BLAUVELT,NY,67712.0,68318.44,Paid in Full,05/01/2020,"JPMorgan Chase Bank, National Association",IL,424120,Limited  Liability Company(LLC)
GALAXY MANAGEMENT LLC,1100 QUAIL ST STE 212,3 RIEZ,NEWPORT COAST,938-941-60,08/29/2014,210000.0,GALAXY MANAGEMENT LLC,CHARLOTTE,NC,18413.5,18588.43,Paid in Full,04/28/2020,First Horizon Bank,TN,721110,Limited  Liability Company(LLC)
A & D LLC,5821 VIEW CIR,18055 BUSHARD ST,FOUNTAIN VALLEY,146-312-13,05/18/2021,0.0,"A&D, LLC",Asheville,NC,67912.5,68520.92,Paid in Full,04/09/2020,HomeTrust Bank,NC,448140,Corporation
SDM HOLDINGS LLC,16541 LOIRE CIR,1 COTTONWOOD,NEWPORT COAST,142-171-04,04/09/2025,1300000.0,SDM HOLDINGS LLC,Castle Pines,CO,19791.67,19891.14,Paid in Full,03/20/2021,Parkside Financial Bank & Trust,MO,541219,Limited  Liability Company(LLC)
PARS LLC,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,06/14/2018,0.0,PAR & S LLC,Pitman,NJ,38750.0,39026.63,Paid in Full,02/19/2021,"TD Bank, National Association",DE,811111,Limited  Liability Company(LLC)
RCP ENTERPRISES LLC,1688 TOPANGA,135 VIA YELLA,NEWPORT BEACH,930-617-47,,,RCP ENTERPRISES LLC,Johnston,RI,9397.0,9458.86,Paid in Full,02/23/2021,"TD Bank, National Association",DE,236220,Limited  Liability Company(LLC)
KC GROUP LLC,15301 PACIFIC ST,10252 AVENIDA CINCO DE MAYO,FOUNTAIN VALLEY,142-052-10,11/16/2022,820000.0,K.C. GROUP LLC,Grayling,MI,33750.0,34084.73,Paid in Full,04/27/2020,The Huntington National Bank,SD,713910,Limited  Liability Company(LLC)
BARAKAH LLC,8161 SAN ANGELO DR,9581 WESTWOOD DR,WESTMINSTER,107-773-08,06/08/2007,0.0,BARAKAH LLC,CHANHASSEN,MN,27500.0,27807.08,Paid in Full,04/28/2020,First Western Bank & Trust,ND,722511,Corporation
AIMS LLC,16091 BEACH BLVD,15142 SOBEY RD,SARATOGA,142-082-35,01/18/2017,4600000.0,AIMS LLC,SPRINGFIELD,MO,41250.0,41586.88,Paid in Full,04/29/2020,Great Southern Bank,MO,511120,Subchapter S Corporation
