entity_id,name,type,address,city,state,zip,source,ein
PPP-9666867710,CHURCH SQUARE PHARMACY INC,church,N/A,N/A,,,ppp_150k_plus,
PPP-7100447301,"FREE WILL BAPTIST CHURCH, INC.",church,1 F SION HILL,Christiansted,VI,00820,ppp_150k_plus,
PPP-1603608901,FREE WILL BAPTIST CHURCH INC,church,135 Estate Sion Hl,Christiansted,VI,00820-5512,ppp_150k_plus,
PPP-9262687708,PRESBYTERIAN MEDICAL ANESTHESIA GROUP PSC,church,1451 Ave Ashford,SAN JUAN,PR,00907,ppp_150k_plus,
PPP-8939808309,THE OPTION INSTITUTE & FELLOWSHIP,church,2080 S Undermountain Rd,Sheffield,MA,01257-9643,ppp_150k_plus,
PPP-9242897007,OPTION INSTITUTE & FELLOWSHIP,church,2080 UNDERMOUNTAIN RD,SHEFFIELD,MA,01257-9643,ppp_150k_plus,
PPP-4967467001,WORTHINGTON ASSEMBLY INC.,church,14 INDUSTRIAL DR,SOUTH DEERFIELD,MA,01373-7338,ppp_150k_plus,
PPP-5392538607,LUTHERAN HOME OF JAMAICA PLAIN INC.,church,11 Shattuck St,Worcester,MA,01605-3650,ppp_150k_plus,
PPP-4861437005,VINEYARD ROAD INC,church,"1451 CONCORD ST, #9",FRAMINGHAM,MA,01701-7726,ppp_150k_plus,
PPP-6102017104,BETHANY COMMUNITY CHURCH,church,15 CAPE RD,MENDON,MA,01756-1164,ppp_150k_plus,
PPP-5033677703,ASSEMBLY GUIDANCE SYSTEMS INC,church,27 INDUSTRIAL AVE UNIT 4,CHELMSFORD,MA,01824-3618,ppp_150k_plus,
PPP-9929138310,ASSEMBLY GUIDANCE SYSTEMS INC,church,27 Industrial Ave,Chelmsford,MA,01824-3618,ppp_150k_plus,
PPP-9400258409,ZO ASSEMBLY INC,church,600 Market St Ste 684,Lynnfield,MA,01940-4000,ppp_150k_plus,
PPP-5794387203,MINISTRY OF SUPPLY INC.,church,"275 Newbury Street, Floor Number 4",Boston,MA,02116,ppp_150k_plus,
PPP-4124638503,MINISTRY OF SUPPLY INC.,church,275 Newbury St Fl 4,Boston,MA,02116-2486,ppp_150k_plus,
PPP-8088457109,NEW ENGLAND NEAPOLITAN ASSEMBLY ROW LLC,church,463 ASSEMBLY ROW,SOMERVILLE,MA,02145,ppp_150k_plus,
PPP-5352178307,NEW ENGLAND NEAPOLITAN ASSEMBLY ROW LLC,church,463 Assembly Row,Somerville,MA,02145-1555,ppp_150k_plus,
PPP-7732138307,FUJI AT ASSEMBLY INC,church,320 Canal St,Somerville,MA,02145-4300,ppp_150k_plus,
PPP-7657067008,FUJI AT ASSEMBLY INC,church,320 Canal St,SOMERVILLE,MA,02145-4300,ppp_150k_plus,
PPP-3474907304,GRACE EPISCOPAL CHURCH,church,160 HIGH ST,MEDFORD,MA,02155-3818,ppp_150k_plus,
PPP-2829167106,CHURCHILL CORPORATION,church,344 FRANKLIN ST,MELROSE,MA,02176-1825,ppp_150k_plus,
PPP-9772108400,CHURCHILL CORPORATION,church,344 Franklin St,Melrose,MA,02176-1825,ppp_150k_plus,
PPP-4570818302,CHURCHILL LINEN SERVICE INC,church,7 Evans St # 0,Brockton,MA,02302-4219,ppp_150k_plus,
PPP-2825367110,"CHURCHILL LINEN SERVICES, INC.",church,7 Evans Street,BROCKTON,MA,02302-4219,ppp_150k_plus,
PPP-4851417104,CHURCHILL'S OIL & GAS INC,church,727 State Rd,Plymouth,MA,02360-5103,ppp_150k_plus,
PPP-5868547305,CASE ASSEMBLY SOLUTIONS INCORPORATED,church,19 Norfolk Avenue,Easton,MA,02375,ppp_150k_plus,
PPP-8651597203,ST JAMES  ARMENIAN CHURCH,church,465 Mount Auburn Street,Watertown,MA,02472,ppp_150k_plus,
PPP-7278437110,MARTHA'S VINEYARD CONSTRUCTION CO INC,church,22 A STREET,EDGARTOWN,MA,02539,ppp_150k_plus,
PPP-8649947104,"VINEYARD GAZETTE, LLC",church,34 South Summer St PO Box 66,Edgartown,MA,02539,ppp_150k_plus,
PPP-8176378301,VINEYARD CANTINA INC,church,266 Upper Main St # 0,Edgartown,MA,02539-5932,ppp_150k_plus,
PPP-4051688505,VINEYARD GAZETTE LLC,church,34 S Summer St,Edgartown,MA,02539-8104,ppp_150k_plus,
PPP-2456927105,LINKS AT MARTHA'S VINEYARD INC.,church,PO Box 1656,Oak Bluffs,MA,02557,ppp_150k_plus,
PPP-3762988405,MARTHA'S VINEYARD COMMISSION,church,33 NEW YORK AVE,OAK BLUFFS,MA,02557,ppp_150k_plus,
PPP-9873187100,MARTHA'S VINEYARD COMMISSION,church,33 New York Ave,OAK BLUFFS,MA,02557-1447,ppp_150k_plus,
PPP-8737887110,"VINEYARD BREWING COMPANY, INC.",church,30 Kennebec Ave PO Box 3232,OAK BLUFFS,MA,02557-5700,ppp_150k_plus,
PPP-7150627109,"CARROLL'S MARTHA'S VINEYARD RAPID TRANSIT, INC",church,475 Edgartown Rd P.O Box 1209,Vineyard Haven,MA,02568,ppp_150k_plus,
PPP-7049408300,MARTHAS VINEYARD SHIPYARD INC,church,164 BEACH ROAD,VINEYARD HAVEN,MA,02568,ppp_150k_plus,
PPP-6036377108,MARTHA'S VINEYARD SHIPYARD INC,church,163 Beach Rd,Vineyard Haven,MA,02568-0001,ppp_150k_plus,
PPP-7350897005,"VINEYARD GARDENS, INC.",church,32 Old Stage Rd,WEST TISBURY,MA,02575,ppp_150k_plus,
PPP-7772627005,"NEWPORT VINEYARDS & WINERY, LLC",church,990 East Main Rd,MIDDLETOWN,RI,02842-5391,ppp_150k_plus,
PPP-5611768302,NEWPORT VINEYARDS & WINERY LLC,church,909 E Main Rd,Middletown,RI,02842-5529,ppp_150k_plus,
PPP-2053737102,SAINT ROSE CHURCH CORPORATION,church,111 LONG ST,WARWICK,RI,02886-7725,ppp_150k_plus,
PPP-1577258408,CHURCHILL & BANKS COMPANIES LLC,church,10 Greene St,Providence,RI,02903-3232,ppp_150k_plus,
PPP-5855487007,CHURCHILL & BANKS COMPANIES LLC,church,10 GREENE ST,PROVIDENCE,RI,02903-3232,ppp_150k_plus,
PPP-8112227100,CORPORATION OF THE CHURCH OF THE BLESSED SACRAMENT,church,239 Regent Ave,Providence,RI,02908,ppp_150k_plus,
PPP-9010057003,ST ROCCOS CHURCH OF JOHNSTON INC,church,927 ATWOOD AVE,JOHNSTON,RI,02919-6240,ppp_150k_plus,
PPP-1321818406,ST ROCCOS CHURCH,church,927 Atwood Ave,Johnston,RI,02919-6240,ppp_150k_plus,
PPP-9639558309,BIRCH WOOD VINEYARDS LLC,church,199 Rockingham Rd,Derry,NH,03038-4518,ppp_150k_plus,
PPP-6981977007,BIRCH WOOD VINEYARDS LLC,church,199 Rockingham Rd,DERRY,NH,03038-4518,ppp_150k_plus,
PPP-4113048301,ASSEMBLY HOTEL OPERATOR,church,1359 Hooksett Rd,Hooksett,NH,03106-1809,ppp_150k_plus,
PPP-6785067008,ASSEMBLY HOTEL OPERATOR LLC,church,1359 HOOKSETT RD,HOOKSETT,NH,03106-1809,ppp_150k_plus,
PPP-7651617006,"VINEYARD INVESTMENT GROUP, LLC",church,170 South River Road,BEDFORD,NH,03110-6778,ppp_150k_plus,
PPP-4608947001,LAKEHOUSE AT CHURCH LANDING LLC,church,281 Daniel Webster HWY,MEREDITH,NH,03253-5812,ppp_150k_plus,
PPP-1106957207,ROMAN CATHOLIC BISHOP OF PORTLAND,church,132 McKeen St,Brunswick,ME,04011,ppp_150k_plus,
PPP-4675448403,ROMAN CATHOLIC BISHOP OF PORTLAND,church,132 McKeen St,Brunswick,ME,04011-2980,ppp_150k_plus,
PPP-9268388502,ERIK'S CHURCH LLC,church,824 Roosevelt Trl Ste 7,Windham,ME,04062-5370,ppp_150k_plus,
PPP-8836347205,"LANCO ASSEMBLY SYSTEMS, INC.",church,12 Thomas Dr.,Westbrook,ME,04092,ppp_150k_plus,
PPP-9421377010,CATHOLIC CHARITIES MAINE,church,307 Congress Street,PORTLAND,ME,04104-3638,ppp_150k_plus,
PPP-5506708609,CHURCH STREET HOSPITALITY INC,church,8 Church Street,Dorset,VT,05251,ppp_150k_plus,
PPP-5656217004,CHURCH STREET HOSPITALITY INC,church,740 PO BOX 740,DORSET,VT,05251-0740,ppp_150k_plus,
PPP-9580947208,"83 CHURCH STREET, LLC",church,78 Main Street,Burlington,VT,05401-8419,ppp_150k_plus,
