ein,name,city,state,ntee_cd,subsection,filing_req_cd,asset_amt,income_amt,revenue_amt
923800781,GLOBAL 1 MANAGEMENT MEDICAL SERVICES,ALISO VIEJO,CA,E01,3,2,,,
901970935,WE GOT YOU FOUNDATION,ALISO VIEJO,CA,E60,3,2,0,0,0
352362998,INTERNATIONAL ASSOCIATION OF EATING DISORDERS PROFESSIONALS FOUNDATION,ALISO VIEJO,CA,E03,3,2,0,0,0
863794220,DEHESTANI FOUNDATION,ALISO VIEJO,CA,H99,3,2,0,0,0
993181469,NURTURE AID VISION,ALISO VIEJO,CA,E60,3,2,0,0,0
464225471,UNITED SPECIALIST HEALTH CARE FOUNDATION INC,ALISO VIEJO,CA,E80,3,2,0,0,0
921867808,CENTER FOR MUSIC AND WELLNESS INC,ALISO VIEJO,CA,E60,3,2,0,0,0
813921646,MCGANN RATNER FOUNDATION,ALISO VIEJO,CA,E60,3,2,0,0,0
393782898,HOPE- FOR CURABLE CANCER,ALISO VIEJO,CA,G30,3,2,0,0,0
842784976,KIANA RESEARCH FOUNDATION FOR PYRUVATE CARBOXYLASE DEFICIENCY,ALISO VIEJO,CA,G11,3,2,3978,24247,24247
454970526,RETINA GLOBAL,ALISO VIEJO,CA,G41,3,1,405151,108155,108155
330954457,SOCCER FOR HOPE,ALISO VIEJO,CA,G12,3,1,59504,276538,144519
852522421,CHARITY OF THE EYE CARE NETWORK,ALISO VIEJO,CA,G41,3,1,2747305,457688,389130
952706905,AMERICAN ASSOCIATION OF CRITICAL CARE NURSES,ALISO VIEJO,CA,E030,3,1,117028322,67586519,37374234
421966178,ORANGEVIEW HEALTH ADVOCACY,ANAHEIM,CA,E70,3,2,,,
412711865,ADVANCE KCS,ANAHEIM,CA,E11,3,1,,,
412406069,SOCAL COMMUNITY CARE,ANAHEIM,CA,E60,3,2,,,
412763800,KCS FOUNDATION,ANAHEIM,CA,E11,3,1,,,
413646426,KOREAN COMMUNITY SERVICES OF ORANGE COUNTY,ANAHEIM,CA,E11,3,1,,,
415155301,SMILES FOR ALL FOUNDATION,ANAHEIM,CA,E70,3,2,,,
954755467,COMMUNITY PERINATAL INC,ANAHEIM,CA,E40,3,2,0,0,0
823164455,TIMMAREE ROCKS FOUNDATION,ANAHEIM,CA,G30,3,2,0,0,0
