BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,InitialApprovalAmount,LoanStatus,DateApproved,LoanNumber,NAICSCode,ServicingLenderName,OriginatingLender
"TLC COMPANY, INC.","5000 EDITH BLVD, NE",ALBUQUERQUE,NM,7284980.0,Paid in Full,04/09/2020,9499057008,531390,Century Bank,Century Bank
"FALASCA MECHANICAL, INC.",3329 N MILL RD,VINELAND,NJ,6083700.0,Paid in Full,04/09/2020,9672197009,238220,Century Savings Bank,Century Savings Bank
"KIDS2, INC.",807 Dorsey Street,GAINESVILLE,GA,5979192.5,Paid in Full,04/07/2020,7501237004,339930,First Century Bank National Association,First Century Bank National Association
"CR & RA INVESTMENTS, INC.",10585 SW 109 CT,MIAMI,FL,5838955.0,Paid in Full,04/27/2020,5873657210,621610,U.S. Century Bank,U.S. Century Bank
ARGENT FINANCIAL GROUP INC,500  E REYNOLDS DR,RUSTON,LA,5171639.0,Paid in Full,04/13/2020,5044857105,551112,Century Next Bank,Century Next Bank
DION'S PIZZA,8525 JEFFERSON ST,ALBUQUERQUE,NM,4520865.0,Paid in Full,04/07/2020,7492337007,722513,Century Bank,Century Bank
"ALLRAN ELECTRIC OF N.Y., LLC",120 Broadway 36th Floor,NEW YORK,NY,4346550.0,Paid in Full,04/30/2020,7749097308,238210,U.S. Century Bank,U.S. Century Bank
GEORGE COUNTY HOSPITAL,859 Winter St,LUCEDALE,MS,4000892.0,Paid in Full,04/11/2020,2737057100,622110,Century Bank,Century Bank
"CULPEPPER & ASSOCIATES SECURITY SERVICES, INC.",807 Dorsey Street,GAINESVILLE,GA,3077904.85,Paid in Full,04/28/2020,6474537206,561612,First Century Bank National Association,First Century Bank National Association
"AUI, INC",7420 READING AVE SE,ALBUQUERQUE,NM,3075670.0,Paid in Full,04/08/2020,8215547007,237990,Century Bank,Century Bank
