title,url,department,status,category,deadline,published,description,amount_est,vendor_name,page,scraped_at,loaded_at
2026 Supportive Housing Notice of Funding Availability (NOFA),https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,Open,,,,,,,1,2026-06-30 21:33:19.797592+00:00,2026-07-02 11:33:32.369784+00:00
Conditional Release Program (CONREP) Supplemental Rate Housing Services,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,Open,,,,,,,1,2026-06-30 21:33:19.905908+00:00,2026-07-02 11:33:32.369843+00:00
Inpatient Behavioral Health Services,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,Open,,,,,,,1,2026-06-30 21:33:19.985251+00:00,2026-07-02 11:33:32.369866+00:00
2025 Supportive Housing Notice of Funding Availability,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,Open,,,,,,,1,2026-06-30 21:33:20.059976+00:00,2026-07-02 11:33:32.369892+00:00
EPA PROTOCOL CALIBRATION AND AUDIT GASES,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,Open,,,,,,,1,2026-06-30 21:33:20.131791+00:00,2026-07-02 11:33:32.369911+00:00
Child Abuse Medical Services,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,Coming Soon,,,,,,,1,2026-06-30 21:33:20.203827+00:00,2026-07-02 11:33:32.369926+00:00
Equipment Rental Without Operator,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,Open,,,,,,,1,2026-06-30 21:33:20.275833+00:00,2026-07-02 11:33:32.369941+00:00
Construction Manager-at-Risk (CMAR) for Facilities Security Improvements,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,Open,,,,,,,1,2026-06-30 21:33:20.351593+00:00,2026-07-02 11:33:32.369962+00:00
Progressive Design Build for New Emergency Operation Center,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,Open,,,,,,,1,2026-06-30 21:33:20.424688+00:00,2026-07-02 11:33:32.369984+00:00
Uninterruptible Power System (UPS) Maintenance and Repair,https://procurement.opengov.com/portal/ocgov?departmentId=all&status=all&page=1&limit=50&sortField=proposalDeadline&sortDirection=DESC&__cf_chl_f_tk=ItQrIMuG2ny515CTWzVrWu2gMwqcyO.bE7ZnRTp8w2M-1782880299-1.0.1.1-QYzC8rmiME6Btb117hoN0lYHjAUJrv0KIVFeKJBx12k#,,Open,,,,,,,1,2026-06-30 21:33:20.538165+00:00,2026-07-02 11:33:32.370005+00:00
