LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
5112228506,02/27/2021,1084,PPS,PETROLEUM EQUIPMENT & SERVICES INC.,5631 Silverado Way Ste G1,Anchorage,AK,99518-1682,03/06/2021,Paid in Full,60,100,377580.0,377580.0,0.0,,524612,Fountainhead SBF LLC,3216 W. Lake Mary Blvd,LAKE MARY,FL,32746,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99518-1682,AK-,19.0,213112,White,Not Hispanic or Latino,1.0,377576.0,,,,,,Corporation,100631,Greater Nevada CU,CARSON CITY,NV,Male Owned,Non-Veteran,,382079.49,05/06/2022
5448047410,05/12/2020,1084,PPP,NAKNEK ELECTRIC ASSOCIATION,P.O Box 118,NAKNEK,AK,99633,08/14/2021,Paid in Full,24,100,440734.0,440734.0,0.0,,110655,"Native American Bank, National Association",201 N Broadway,DENVER,CO,80203-3918,R,N,N,Existing or more than 2 years old,NAKNEK,BRISTOL BAY,AK,99633-0001,AK-,17.0,221112,Unanswered,Unknown/NotStated,24000.0,330551.0,86183.0,,,,,Cooperative,110655,"Native American Bank, National Association",DENVER,CO,Unanswered,Unanswered,,445503.59,06/15/2021
8205357201,04/28/2020,1084,PPP,TRADING UNION INCORPORATED,401 North Nordic Drive,Petersburg,AK,99833,02/08/2022,Paid in Full,24,100,155000.0,155000.0,0.0,,113190,American Express National Bank,115 West Towne Ridge Parkway,Sandy,UT,84070,R,Y,N,Existing or more than 2 years old,Petersburg,PETERSBURG,AK,99833-0001,AK-,24.0,445110,Unanswered,Unknown/NotStated,0.0,77500.0,0.0,0.0,,77500.0,0.0,Corporation,113190,American Express National Bank,Sandy,UT,Unanswered,Unanswered,,156817.72,01/03/2022
4289618310,01/23/2021,1084,PPS,TUDOR DENTAL GROUP LLC,330 E Tudor Rd,Anchorage,AK,99503-7369,02/10/2022,Paid in Full,60,100,243213.05,243213.05,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99503-7369,AK-,15.0,621210,Unanswered,Not Hispanic or Latino,1.0,243211.05,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Non-Veteran,,245565.22,01/21/2022
5169278402,02/08/2021,1084,PPS,GLOBAL EQUIPMENT SERVICES INC,3606 Schacht St,Fairbanks,AK,99701-7357,10/13/2021,Paid in Full,24,100,206209.22,206209.22,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,R,Y,N,Existing or more than 2 years old,Fairbanks,FAIRBANKS NORTH STAR,AK,99701-7357,AK-,8.0,423810,Unanswered,Unknown/NotStated,,206209.22,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,207418.23,09/15/2021
1373937304,04/28/2020,1084,PPP,NORTHWEST BARRIERS LLC,6799 N. Sitze Road,Wasilla,AK,99623,03/18/2021,Paid in Full,24,100,164932.0,164932.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,R,Y,N,Existing or more than 2 years old,Wasilla,MATANUSKA SUSITNA,AK,99623-0001,AK-,13.0,238990,White,Not Hispanic or Latino,,164932.0,,,,,,Limited  Liability Company(LLC),116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Non-Veteran,,166165.6,02/09/2021
8486958707,04/07/2021,1084,PPS,BRIGHT HORIZON HOMES LLC,1453 W Kanabec Dr,Wasilla,AK,99654-9748,01/08/2022,Paid in Full,60,100,150000.0,150000.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,R,Y,Y,Existing or more than 2 years old,Wasilla,MATANUSKA SUSITNA,AK,99654-9748,AK-,14.0,623210,Unanswered,Unknown/NotStated,1.0,149996.0,,,,,,Subchapter S Corporation,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,,150973.97,12/07/2021
5573548304,01/25/2021,1084,PPS,DENALI FAMILY SERVICES,6401 A St,Anchorage,AK,99518-1824,03/10/2022,Paid in Full,60,100,1328227.0,1328227.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,N,N,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99518-1824,AK-,117.0,621498,Unanswered,Unknown/NotStated,1.0,1328224.0,,,,,,Non-Profit Organization,116975,Northrim Bank,ANCHORAGE,AK,Unanswered,Unanswered,Y,1341472.88,02/01/2022
5500648407,02/08/2021,1084,PPS,SWALLING & ASSOCIATES PC,3201 C St Ste 405,Anchorage,AK,99503-3967,02/10/2022,Paid in Full,60,100,391540.0,391540.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,Y,Existing or more than 2 years old,Anchorage,ANCHORAGE,AK,99503-3967,AK-,20.0,541211,Unanswered,Not Hispanic or Latino,1.0,391536.0,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Non-Veteran,,395047.77,01/06/2022
6485387008,04/07/2020,1084,PPP,ALASKA LITHO INC.,8420 Airport Blvd Suite 102,JUNEAU,AK,99801-8064,04/21/2021,Paid in Full,24,100,161962.0,161962.0,0.0,,116975,Northrim Bank,3111 'C' St,ANCHORAGE,AK,99503,U,Y,N,Existing or more than 2 years old,JUNEAU,JUNEAU,AK,99801-8064,AK-,15.0,323111,White,Not Hispanic or Latino,,161962.0,,,,,,Corporation,116975,Northrim Bank,ANCHORAGE,AK,Male Owned,Unanswered,,163421.88,03/16/2021
