Owner1,Owner2,SiteAddress,MailAddress,MailCity,APN,LastSeller,LastSaleDate,LastSaleValue,clean_owner,ppp_borrower,ppp_city,ppp_state,ppp_amount,ppp_forgiven,ppp_date,ppp_status,BusinessType,NAICSCode,NonProfit,JobsReported,lender,proximity_cluster,rico_risk_tier
S & N COMPANY LLC,,6422 DUNN DR,PO BOX 4035,WESTMINSTER,145-271-05,"S & N COMPANY,",01/21/2016,0.0,SNCOMPANYLLC,"S N COMPANY, LLC",FLORENCE,SC,8500.0,8566.82,04/12/2020,Paid in Full,Limited  Liability Company(LLC),721110,,4.0,First Bank,,TIER_4_MONITOR
S & N COMPANY LLC,,15942 PLYMOUTH LN,PO BOX 4035,WESTMINSTER,145-095-07,"S & N COMPANY,",01/20/2016,0.0,SNCOMPANYLLC,"S N COMPANY, LLC",FLORENCE,SC,8500.0,8566.82,04/12/2020,Paid in Full,Limited  Liability Company(LLC),721110,,4.0,First Bank,,TIER_4_MONITOR
S & N COMPANY LLC,,5351 OCEANUS DR,PO BOX 4035,WESTMINSTER,145-014-66,"S&N COMPANY,",02/28/1996,0.0,SNCOMPANYLLC,"S N COMPANY, LLC",FLORENCE,SC,8500.0,8566.82,04/12/2020,Paid in Full,Limited  Liability Company(LLC),721110,,4.0,First Bank,,TIER_4_MONITOR
S & N COMPANY LLC,,115 8TH ST,PO BOX 4035,WESTMINSTER,024-123-07,"S & N COMPANY,",,0.0,SNCOMPANYLLC,"S N COMPANY, LLC",FLORENCE,SC,8500.0,8566.82,04/12/2020,Paid in Full,Limited  Liability Company(LLC),721110,,4.0,First Bank,,TIER_4_MONITOR
OG RESIDENTIAL LLC,,8940 COMET CIR,16404 SHADOW CT,LA MIRADA,107-626-20,"FARLEY, CATHLEEN MARIE; ESTATE OF MARIE ANNE ROBLEDO,",09/12/2025,925000.0,OGRESIDENTIALLLC,OG RESIDENTIAL LLC,LA MIRADA,CA,4240.0,4277.75,05/01/2020,Paid in Full,Corporation,,,1.0,"Wells Fargo Bank, National Association",,TIER_4_MONITOR
OG RESIDENTIAL LLC,,8940 COMET CIR,16404 SHADOW CT,LA MIRADA,107-626-20,"FARLEY, CATHLEEN MARIE; ESTATE OF MARIE ANNE ROBLEDO,",09/12/2025,925000.0,OGRESIDENTIALLLC,OG RESIDENTIAL LLC,La Mirada,CA,4222.0,4274.75,02/02/2021,Paid in Full,Corporation,531390,,1.0,"Wells Fargo Bank, National Association",,TIER_4_MONITOR
L & E HOLDINGS LLC, LAKESIDE DRIVE TRUST,10541 LAKESIDE DR S # 159,9932 CRIS AVE,ANAHEIM,939-881-59,"WHOMSLEY, LUTHER E; WHOMSLEY, ELLEN C",12/19/1997,0.0,LEHOLDINGSLLC,L & E HOLDINGS LLC,GROVE,OK,4700.0,4743.21,04/07/2020,Paid in Full,Limited  Liability Company(LLC),812910,,2.0,Arvest Bank,,TIER_4_MONITOR
DRT LLC,,16862 CORAL CAY LN,20101 SW BIRCH ST STE 151,NEWPORT BEACH,178-653-37,"DRI LLC, ; DRT LLC,",07/29/1997,0.0,DRTLLC,"DRT, LLC",Atlanta,GA,12345.0,,06/04/2020,Charged Off,Limited  Liability Company(LLC),541990,,1.0,Fed ¿ Kabbage,,TIER_4_MONITOR
DRT LLC,,16862 CORAL CAY LN,20101 SW BIRCH ST STE 151,NEWPORT BEACH,178-653-37,"DRI LLC, ; DRT LLC,",07/29/1997,0.0,DRTLLC,DRT LLC,BYRON CENTER,MI,23400.0,23700.03,04/28/2020,Paid in Full,Limited  Liability Company(LLC),999990,,3.0,Macatawa Bank,,TIER_4_MONITOR
DRT LLC,,16862 CORAL CAY LN,20101 SW BIRCH ST STE 151,NEWPORT BEACH,178-653-37,"DRI LLC, ; DRT LLC,",07/29/1997,0.0,DRTLLC,DRT LLC,ONTARIO,OR,357716.32,362048.12,04/28/2020,Paid in Full,Limited  Liability Company(LLC),423910,,24.0,Umpqua Bank,,TIER_4_MONITOR
