Clean_ID,Timestamp,Tab_Name,Records_Processed,Records_Cleaned,Modifications_Made,Status
CLN-001,2026-09-03T11:01:46.505701+00:00,People,10,0,0 records standardized,VALIDATED
CLN-002,2026-09-03T11:01:46.505701+00:00,Gov_Agencies,3,0,0 records standardized,VALIDATED
CLN-003,2026-09-03T11:01:46.505701+00:00,Contractors,12,0,0 records standardized,VALIDATED
CLN-004,2026-09-03T11:01:46.505701+00:00,Shell_Companies,6,0,0 records standardized,VALIDATED
CLN-005,2026-09-03T11:01:46.505701+00:00,Evidence_Items,29,1,1 records standardized,VALIDATED
CLN-006,2026-09-03T11:01:46.505701+00:00,RICO_Nodes,19,0,0 records standardized,VALIDATED
CLN-007,2026-09-03T11:01:46.505701+00:00,Neo4j_Graph_Schema,10,0,0 records standardized,VALIDATED
CLN-008,2026-09-03T11:01:46.505701+00:00,MASTER_TIMELINE,28,0,0 records standardized,VALIDATED
CLN-009,2026-09-03T11:01:46.505701+00:00,TIMELINE_CHART_2020_2026,57,0,0 records standardized,VALIDATED
CLN-010,2026-09-03T11:01:46.505701+00:00,Wintersburg_Timeline,17,0,0 records standardized,VALIDATED
CLN-011,2026-09-03T11:01:46.505701+00:00,Legal_Brief_Export,1,0,0 records standardized,VALIDATED
CLN-012,2026-09-03T11:01:46.505701+00:00,Legal_Exposure,21,0,0 records standardized,VALIDATED
CLN-013,2026-09-03T11:01:46.505701+00:00,Smoking_Gun_Matrix,6,0,0 records standardized,VALIDATED
CLN-014,2026-09-03T11:01:46.505701+00:00,Audit_Report,1,0,0 records standardized,VALIDATED
CLN-015,2026-09-03T11:01:46.505701+00:00,DATA_QUALITY_AUDIT,7,7,7 records standardized,VALIDATED
CLN-016,2026-09-03T11:01:46.505701+00:00,CLEANUP_SUMMARY,39,0,0 records standardized,VALIDATED
CLN-017,2026-09-03T11:01:46.505701+00:00,DEPLOYMENT_SUMMARY,5,0,0 records standardized,VALIDATED
CLN-018,2026-09-03T11:01:46.505701+00:00,DASHBOARD_AUTO,11,0,0 records standardized,VALIDATED
CLN-019,2026-09-03T11:01:46.505701+00:00,Dashboard,3,0,0 records standardized,VALIDATED
CLN-020,2026-09-03T11:01:46.505701+00:00,Calc_Data,50,0,0 records standardized,VALIDATED
CLN-021,2026-09-03T11:01:46.505701+00:00,Unified_Dossier,3,0,0 records standardized,VALIDATED
CLN-022,2026-09-03T11:01:46.505701+00:00,Child_Trafficking_Intel,3,0,0 records standardized,VALIDATED
CLN-023,2026-09-03T11:01:46.505701+00:00,Trafficking_Dashboard,7,0,0 records standardized,VALIDATED
CLN-024,2026-09-03T11:01:46.505701+00:00,Fugitive_Tracking_Brief,1,0,0 records standardized,VALIDATED
CLN-025,2026-09-03T11:01:46.505701+00:00,Cross_References,200,0,0 records standardized,VALIDATED
CLN-026,2026-09-03T11:01:46.505701+00:00,Addresses,10,0,0 records standardized,VALIDATED
CLN-027,2026-09-03T11:01:46.505701+00:00,Entity_Addresses,21,0,0 records standardized,VALIDATED
CLN-028,2026-09-03T11:01:46.505701+00:00,Emails,6,0,0 records standardized,VALIDATED
CLN-029,2026-09-03T11:01:46.505701+00:00,Phones,7,0,0 records standardized,VALIDATED
CLN-030,2026-09-03T11:01:46.505701+00:00,Nonprofits,8,0,0 records standardized,VALIDATED
CLN-031,2026-09-03T11:01:46.505701+00:00,Toxic_Site,5,0,0 records standardized,VALIDATED
CLN-032,2026-09-03T11:01:46.505701+00:00,Unclaimed_Prop,6,0,0 records standardized,VALIDATED
CLN-033,2026-09-03T11:01:46.505701+00:00,USGS_Image_Analysis,0,0,0 records standardized,VALIDATED
CLN-034,2026-09-03T11:01:46.505701+00:00,Anthony_DiMarcello,20,0,0 records standardized,VALIDATED
CLN-035,2026-09-03T11:01:46.505701+00:00,hud_pit_by_coc,0,0,0 records standardized,VALIDATED
CLN-036,2026-09-03T11:01:46.505701+00:00,Chart10,0,0,0 records standardized,VALIDATED
CLN-037,2026-09-03T11:01:46.505701+00:00,Chart11,0,0,0 records standardized,VALIDATED
CLN-038,2026-09-03T11:01:46.505701+00:00,Chart12,0,0,0 records standardized,VALIDATED
CLN-039,2026-09-03T11:01:46.505701+00:00,Timeline,61,0,0 records standardized,VALIDATED
