Metric,Value,Category,Last_Calculated,Status
TOTAL_ENTITIES,143,Overview,2026-09-03T11:01:46.505701+00:00,LIVE
PEOPLE_ENTITIES,0,Individuals,2026-09-03T11:01:46.505701+00:00,LIVE
GOV_AGENCIES,0,Government,2026-09-03T11:01:46.505701+00:00,LIVE
CONTRACTORS,0,Contractors,2026-09-03T11:01:46.505701+00:00,LIVE
SHELL_COMPANIES,0,Corporate,2026-09-03T11:01:46.505701+00:00,LIVE
NONPROFITS,0,Nonprofit,2026-09-03T11:01:46.505701+00:00,LIVE
EVIDENCE_ITEMS,0,Evidence,2026-09-03T11:01:46.505701+00:00,LIVE
RICO_NODES,0,RICO,2026-09-03T11:01:46.505701+00:00,LIVE
TOXIC_SITES,0,Environmental,2026-09-03T11:01:46.505701+00:00,LIVE
TIMELINE_EVENTS,0,Timeline,2026-09-03T11:01:46.505701+00:00,LIVE
TOTAL_TABS_INDEXED,40,System,2026-09-03T11:01:46.505701+00:00,VERIFIED
