Entity,Category,Address,Notes
City of Huntington Beach,Government,"2000 MAIN STREET, HUNTINGTON BEACH, CA 92648",City Hall; primary defendant address
Huntington Beach Police Dept,Government,"2000 MAIN STREET, HUNTINGTON BEACH, CA 92648",City Hall; primary defendant address
Pat Burns,Individual,"2000 MAIN STREET, HUNTINGTON BEACH, CA 92648",City Hall; primary defendant address
Eric Parra,Individual,"2000 MAIN STREET, HUNTINGTON BEACH, CA 92648",City Hall; primary defendant address
Michael Gates,Individual,"2000 MAIN STREET, HUNTINGTON BEACH, CA 92648",City Hall; primary defendant address
Surf City Navigation Center Inc,Organization,"17631 CAMERON LANE, HUNTINGTON BEACH, CA 92647",HBNC Navigator Center; toxic site location; Cr-VI at 49x MCL
HBNC Toxic Site HTML,Evidence,"17631 CAMERON LANE, HUNTINGTON BEACH, CA 92647",HBNC Navigator Center; toxic site location; Cr-VI at 49x MCL
Orange County DA,Government,"300 NORTH FLOWER STREET, SANTA ANA, CA 92703",Orange County DA office
Todd Spitzer,Individual,"300 NORTH FLOWER STREET, SANTA ANA, CA 92703",Orange County DA office
US Navy / NAS Los Alamitos,Government,"11200 NIMITZ ROAD, LOS ALAMITOS, CA 90720",NAS Los Alamitos; Navy CERCLA responsible party
US District Court CD California,Government,"411 WEST 4TH STREET, SANTA ANA, CA 92701",US District Court CD California; RCRA/RICO venue
US EPA Region 9,Government,"75 HAWTHORNE STREET, SAN FRANCISCO, CA 94105",US EPA Region 9; RCRA/CERCLA enforcement
HUD Region IX,Government,"600 HARRISON STREET, SAN FRANCISCO, CA 94107",HUD Region IX; grant fraud nexus
CalEPA / DTSC,Government,"1001 I STREET, SACRAMENTO, CA 95814",CalEPA / DTSC / State Water Resources Board
CA State Water Resources Board,Government,"1001 I STREET, SACRAMENTO, CA 95814",CalEPA / DTSC / State Water Resources Board
California State Controller,Government,"300 CAPITOL MALL, SACRAMENTO, CA 95814",CA State Controller; unclaimed property custodian
FBI Los Angeles Field Office,Government,"11000 WILSHIRE BOULEVARD, LOS ANGELES, CA 90024",FBI Los Angeles Field Office; RICO referral target
Woodbridge Meadows Apartments LLC,Organization,"130 VANTIS SUITE 200, ALISO VIEJO, CA 92656",Plaintiff in Unlawful Detainer Case 30-2021-01201327-CL-UD-CJC
"Shea Properties Management Company, Inc.",Organization,"50 EASTSHORE, IRVINE, CA 92604",Authorized agent for Landlord/Owner Woodbridge Meadows Apartments LLC
"Ruzicka, Wallace & Coughlin, LLP",Organization,,Plaintiff's Attorney for Woodbridge Meadows Apartments LLC
Woodbridge Self Storage,Organization,"5020 BARRANCA PARKWAY, IRVINE, CA 92604",Storage facility used by Anthony Dimarcello
