ENTITY_ID,ENTITY_TYPE,ENTITY_NAME,PRIMARY_TAB,RELATED_IDS,LAST_UPDATED,SOURCE_DOC,NOTES,STATUS,PUBLIC_EVIDENCE,NON_PUBLIC_EVIDENCE
ADDR-001,ADDR,ADDR-001,Addresses,GOV-001;GOV-002;PER-003;PER-004;PER-008,2026-09-02T17:35:16.952121+00:00,Knabb v. HB RCRA Complaint,None,Active,,
ADDR-002,ADDR,ADDR-002,Addresses,EV-001;NP-002,2026-09-02T17:35:16.952121+00:00,HBNC Toxic Site HTML,Former Navy base; contamination concealed,Active,,
ADDR-003,ADDR,ADDR-003,Addresses,GOV-003;PER-014,2026-09-02T17:35:16.952121+00:00,Whistleblower Dossier,Referred; no action taken,Active,,
ADDR-004,ADDR,ADDR-004,Addresses,GOV-007,2026-09-02T17:35:16.952121+00:00,HBNC Toxic Site HTML,Origin of Cr-VI contamination,Active,,
ADDR-005,ADDR,ADDR-005,Addresses,GOV-016,2026-09-02T17:35:16.952121+00:00,Knabb v. HB RCRA Complaint,Active federal litigation,Active,,
ADDR-006,ADDR,ADDR-006,Addresses,GOV-011,2026-09-02T17:35:16.952121+00:00,Knabb v. HB RCRA Complaint,None,Active,,
ADDR-007,ADDR,ADDR-007,Addresses,GOV-009,2026-09-02T17:35:16.952121+00:00,Whistleblower Dossier,None,Active,,
ADDR-008,ADDR,ADDR-008,Addresses,GOV-008;GOV-017,2026-09-02T17:35:16.952121+00:00,HBNC Toxic Site HTML,None,Active,,
ADDR-009,ADDR,ADDR-009,Addresses,GOV-012,2026-09-02T17:35:16.952121+00:00,Unclaimed Property PDFs,None,Active,,
ADDR-010,ADDR,ADDR-010,Addresses,GOV-013,2026-09-02T17:35:16.952121+00:00,RICO Matrix,None,Active,,
CON-001,CON,Haick Construction / Development,Contractors,PER-025,2026-09-02T17:35:16.952121+00:00,Whistleblower Dossier,None,Active,,
CON-002,CON,Unknown Remediation Contractor,Contractors,PER-027,2026-09-02T17:35:16.952121+00:00,HBNC Toxic Site HTML,None,Active,,
CON-003,CON,Unknown IT/Surveillance Vendor,Contractors,,2026-09-02T17:35:16.952121+00:00,Whistleblower Dossier,None,Active,,
CON-004,CON,ASL Electric,Contractors,PER-029,2026-09-02T17:35:16.952121+00:00,meli-document-mercy-house-board-conflicts-of-interest (2).docx,None,Active,,
CON-005,CON,ASL Plumbing,Contractors,PER-029,2026-09-02T17:35:16.952121+00:00,meli-document-mercy-house-board-conflicts-of-interest (2).docx,None,Active,,
CON-006,CON,RBA Builders LLC,Contractors,PER-030,2026-09-02T17:35:16.952121+00:00,meli-document-mercy-house-board-conflicts-of-interest (2).docx,None,Active,,
CON-007,CON,Shopoff Realty Investments,Contractors,PER-033;PER-034,2026-09-02T17:35:16.952121+00:00,meli-document-mercy-house-board-conflicts-of-interest (2).docx,None,Active,,
CON-008,CON,Advanced Real Estate Services,Contractors,PER-035,2026-09-02T17:35:16.952121+00:00,meli-document-mercy-house-board-conflicts-of-interest (2).docx,None,Active,,
CON-009,CON,Cole & Company Wealth Management,Contractors,PER-036,2026-09-02T17:35:16.952121+00:00,meli-document-mercy-house-board-conflicts-of-interest (2).docx,None,Active,,
CON-010,CON,Buntich Entities (Unspecified),Contractors,PER-031;PER-032,2026-09-02T17:35:16.952121+00:00,meli-document-mercy-house-board-conflicts-of-interest (2).docx,None,Active,,
CON-011,CON,BriteCity,Contractors,PER-056,2026-09-02T17:35:16.952121+00:00,OSINT Research,Regional IT node,Active,,
CON-012,CON,Alcala Consulting,Contractors,,2026-09-02T17:35:16.952121+00:00,News Reports,Enterprise 'Fixer',Active,,
EMAIL-001,EMAIL,EMAIL-001,Emails,GOV-001;PER-003,2026-09-02T17:35:16.952121+00:00,Whistleblower Dossier,City Manager contact,Active,,
EMAIL-002,EMAIL,EMAIL-002,Emails,GOV-002;PER-004,2026-09-02T17:35:16.952121+00:00,Whistleblower Dossier,HBPD Chief contact,Active,,
EMAIL-003,EMAIL,EMAIL-003,Emails,GOV-001;PER-008,2026-09-02T17:35:16.952121+00:00,RICO Matrix,City Attorney contact,Active,,
EMAIL-004,EMAIL,EMAIL-004,Emails,GOV-011,2026-09-02T17:35:16.952121+00:00,Knabb v. HB RCRA Complaint,EPA Region 9 enforcement contact,Active,,
EMAIL-005,EMAIL,EMAIL-005,Emails,GOV-008,2026-09-02T17:35:16.952121+00:00,HBNC Toxic Site HTML,DTSC public participation,Active,,
EMAIL-006,EMAIL,EMAIL-006,Emails,,2026-09-02T17:35:16.952121+00:00,,Placeholder — add new email contacts as identified,Active,,
EV-001,EV,HCD $96M Notice of Violation & Res. 2022-064,Evidence_Items,ADDR-002;RICO-005;TOX-001;TOX-002;TOX-003;TOX-004;TOX-005,2026-09-02T17:35:16.957663+00:00,,,Verified,,
EV-002,EV,Orange County CJC Unlawful Detainer Docket #1201327,Evidence_Items,RICO-001,2026-09-02T17:35:16.957798+00:00,,,Verified,,
EV-003,EV,Quantum Auto Dismantler Invoice #14098 & Title Trail,Evidence_Items,RICO-001;RICO-002,2026-09-02T17:35:16.957920+00:00,,,Verified,,
EV-004,EV,17631 Cameron Ln Environmental Hazmat & Lead Records,Evidence_Items,,2026-09-02T17:35:16.958117+00:00,,,Verified,,
EV-005,EV,"8 Lakeview, Irvine Deed & HOMI Non-Profit Tax Filings",Evidence_Items,RICO-010,2026-09-02T17:35:16.958257+00:00,,,Verified,,
EV-016,EV,1AIGDiMarcello.pdf,Evidence_Items,RICO-002,2026-09-02T20:45:44.570035+00:00,Evidence_Items,,Active,,
EV-017,EV,Ewing Police Department Chain of Custody Report,Evidence_Items,RICO-011,2026-09-02T20:45:44.570035+00:00,Evidence_Items,,Active,,
EV-018,EV,Roger 2022 SMS Transcript & Dean 9-22 Record,Evidence_Items,RICO-005,2026-09-02T20:45:44.570035+00:00,Evidence_Items,,Active,,
EV-019,EV,Chase Visa Account 4266 & Breach Logs,Evidence_Items,RICO-003,2026-09-02T20:55:13.285534+00:00,Evidence_Items,,Active,,
