ENTITY_ID,ENTITY_TYPE,ENTITY_NAME,PRIMARY_TAB,RELATED_IDS,LAST_UPDATED,SOURCE_DOC,NOTES,STATUS,PUBLIC_EVIDENCE,NON_PUBLIC_EVIDENCE
TL-005,TIMELINE,1947 Agricultural Well Installation,Timeline,ADDR-002;TOX-001,2026-05-20T00:00:00+00:00,OSINT Investigation & Maltego,Unsealed agricultural well (Survey #5403) installed at 17642 Beach Blvd; becomes vapor conduit,,,
TL-006,TIMELINE,1960s-1980s Underground Storage Tank Installation,Timeline,GOV-007;ADDR-001,2026-05-20T00:00:00+00:00,Huntington Beach Industrial Site History,Single-walled bare steel USTs installed throughout corridor; rapid oxidation due to swampy soil,,,
TL-007,TIMELINE,1962 County Landfill Closure,Timeline,RICO-001;GOV-001,2026-05-22T00:00:00+00:00,Huntington Beach Industrial Site History,Adjacent landfill sites closed after intensive use; decomposing materials create soil instability,,,
TL-008,TIMELINE,1978-1979 Environmental Engineering Documents,Timeline,PER-025;GOV-008,2026-05-22T00:00:00+00:00,OSINT Investigation & Maltego,Mitsuru Yamada serves as Assistant Subdivision Engineer at Orange County Environmental Management Agency,,,
TL-009,TIMELINE,Early 1990s Geotechnical Instability Recognized,Timeline,ADDR-001;ADDR-002,2026-05-22T00:00:00+00:00,Huntington Beach Industrial Site History,Decomposing landfill materials documented as causing severe unstable soil conditions,,,
TL-010,TIMELINE,1980s Punk Rock Movement Era,Timeline,ADDR-001,2026-05-22T00:00:00+00:00,HB Navigation Center Investigation,"Huntington Beach becomes hub for Southern California punk rock; venues like Ichabod's host Social Distortion, TSOL",,,
TL-011,TIMELINE,2006 Brightwater Development Begins,Timeline,ADDR-003;GOV-001,2026-05-22T00:00:00+00:00,HB Navigation Center Investigation,Grading and construction of Brightwater development by Hearthside Homes; human remains discovered,,,
TL-012,TIMELINE,2007 Native American Remains Removal,Timeline,ADDR-003;GOV-001,2026-05-22T00:00:00+00:00,HB Navigation Center Investigation,174 sets of human remains removed from Brightwater site; Native American Heritage Commission notification failure,,,
TL-013,TIMELINE,2014 Michael Gates Election,Timeline,PER-008;GOV-001,2026-05-22T00:00:00+00:00,HB Navigation Center Investigation,Michael Gates elected as City Attorney of Huntington Beach,,,
TL-014,TIMELINE,August 2020 - January 2021 City Property Acquisition,Timeline,PER-025;PER-026;GOV-001;SHL-001;ADDR-002,2026-05-22T00:00:00+00:00,OSINT Investigation & Maltego,"City of HB acquires Yamada parcel using $6,094,847 LMIHAF reserves; secures ground lease at Beach Blvd",,,
