CERSID,FACILITY_ID,BUSINESS_NAME,ADDRESS,CITY,ZIP,COUNTY,PERMITTING_AGENCY,LATITUDE,LONGITUDE,CALENVIROSCREEN4PERCENTILE,2022_ASSEMBLY_DISTRICT,2022_SENATE_DISTRICT,2022_CONGRESSIONAL_DISTRICT
10240909,,LAPD - PARKER CENTER,150 N LOS ANGELES ST UN 415,LOS ANGELES,90012,Los Angeles,Los Angeles City Fire Department,,,,,,
10241095,FA0002414,CEDARS-SINAI MEDICAL CENTER,8723 W ALDEN DR RM 157,LOS ANGELES,90048,Los Angeles,Los Angeles City Fire Department,,,,,,
10416961,LACoFA0009684,UNITED #101,450 El Segundo Blvd,LOS ANGELES,90061,Los Angeles,Los Angeles County Fire Department,,,,,,
10416640,,Chevron Blending and Shipping Contol Room,228 W El Segundo Blvd,El Segundo,90245,Los Angeles,El Segundo City Fire Department,,,,,,
10409941,,Chevron Station# 97608,601 S Vista Del Mar,El Segundo,90245,Los Angeles,El Segundo City Fire Department,,,,,,
10190423,,Chevron Isomax Complex Control Room,1290 E El Segundo Blvd,El Segundo,90245,Los Angeles,El Segundo City Fire Department,,,,,,
10190397,,Chevron EF&S Division,352 E El Segundo Blvd,El Segundo,90245,Los Angeles,El Segundo City Fire Department,,,,,,
10190413,,Chevron LSFO Complex Control Room,520 E El Segundo Blvd,El Segundo,90245,Los Angeles,El Segundo City Fire Department,,,,,,
10289050,LACoFA0015061,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC.",711 W Knox St,Gardena,90248,Los Angeles,Los Angeles County Fire Department,,,,,,
10267849,LACoFA0029533,ARIAN OIL LLC,17400 S Western Ave,Gardena,90248,Los Angeles,Los Angeles County Fire Department,,,,,,
10420510,LACoFA0022412,UNITED #174,4008 W Rosecrans Ave,Lawndale,90250,Los Angeles,Los Angeles County Fire Department,,,,,,
10267687,LACoFA0014334,UNITED #135,4558 W Imperial Hwy,Inglewood,90304,Los Angeles,Los Angeles County Fire Department,,,,,,
10279789,LACoFA0012998,Whittier Union High School District,9402 Greenleaf Ave,Whittier,90605,Los Angeles,Los Angeles County Fire Department,,,,,,
10173255,FA0060611,SPEEDWAY No. 3796,101 E Whittier Blvd,La Habra,90631,Orange,Orange County Environmental Health,,,,,,
10309543,LACoFA0002295,LA MIRADA PUMP STATION,16107 E ALICANTE RD,LA MIRADA,90638,Los Angeles,Los Angeles County Fire Department,,,,,,
10444690,LACoFA0003509,CFS 31 La Mirada,14901 Artesia Blvd,La Mirada,90638,Orange,Los Angeles County Fire Department,,,,,,
10406239,LACoFA,Diana's Pet Grooming,458,Montebello,90640,Los Angeles,Los Angeles County Fire Department,,,,,,
10138267,FA0024558,G&M Oil Co. #61,10502 S. Magnolia Ave.,Stanton,90680,Orange,Orange County Environmental Health,,,,,,
10271113,LACoFA0006761,AVALON FUEL DOCK,2 CASINO WAY,AVALON,90704,Los Angeles,Los Angeles County Fire Department,,,,,,
10271122,LACoFA0020437,Catalina Island Company,44 PEBBLY BEACH RD,AVALON,90704,Los Angeles,Los Angeles County Fire Department,,,,,,
