property_id,owner_name,owner2,address,apn,city,last_sale_value,last_sale_date,mail_address,mail_city
PRP-151-592-36,TD ESTATES LLC,,8512 OXLEY CIR,151-592-36,,1225000.0,02/21/2023,1800 HONDURAS AVE MARCO ISLAND FL 34145 4220,
PRP-178-641-14,C-HPNN HOLDINGS LLC,,3722 MONTEGO DR,178-641-14,AGUA DULCE,1580000.0,12/21/2023,11342 DARLING RD,AGUA DULCE
PRP-159-121-41,7761 GARFIELD AVE LLC,,7761 GARFIELD AVE,159-121-41,ALAMO,4087500.0,06/03/2019,3200 DANVILLE BLVD STE 100,ALAMO
PRP-165-261-57,SST II 7611 TALBERT AVE LLC,,7611 TALBERT AVE,165-261-57,ALEXANDRIA,10830000.0,02/11/2015,PO BOX 320099,ALEXANDRIA
PRP-936-465-04,AILYS2017 LLC,,24 CHANDON,936-465-04,ALGONQUIN,1575000.0,05/25/2017,PO BOX 7285,ALGONQUIN
PRP-024-165-11,H B PIERSIDE LLC,,214 3RD ST,024-165-11,ALHAMBRA,1200000.0,06/29/2012,212 S PALM AVE # 200,ALHAMBRA
PRP-024-165-10,H B PIERSIDE LLC,,218 3RD ST,024-165-10,ALHAMBRA,600000.0,06/29/2012,212 S PALM AVE # 200,ALHAMBRA
PRP-932-940-48,MIRIAM LLC,,310 FERNANDO ST APT 411,932-940-48,ALPINE,1275000.0,05/13/2021,715 BLUE SPRUCE RD,ALPINE
PRP-024-024-08,PSI REAL ESTATE LLC,,323 14TH ST,024-024-08,ANAHEIM,5450000.0,02/22/2024,387 S HENNING WAY,ANAHEIM
PRP-167-311-03,JARIC PROPERTIES LLC,,17288 BEACH BLVD,167-311-03,ANAHEIM,3400000.0,04/12/2013,1321 S AUTO CENTER DR,ANAHEIM
PRP-167-311-04,JARIC PROPERTIES LLC,,17342 BEACH BLVD,167-311-04,ANAHEIM,2600000.0,04/26/2023,1321 S AUTO CENTER DR,ANAHEIM
PRP-932-940-29,THREE-O-FOUR FERNANDO LLC,,310 FERNANDO ST APT 304,932-940-29,ANAHEIM,325000.0,04/29/2019,4300 E TERRA VISTA LN,ANAHEIM
PRP-939-501-90,LOS DELANTARES LLC,,1400 PACIFIC COAST HWY APT 101,939-501-90,ANAHEIM,827182.0,04/06/2020,1210 W DWYER DR,ANAHEIM
PRP-163-291-60,RSD LLC,,4771 JAMES CIR,163-291-60,ANAHEIM,1025000.0,06/18/2009,8861 KATELLA AVE,ANAHEIM
PRP-025-181-25,OWEN PROPERTY LLC,,731 OWEN DR,025-181-25,ANAHEIM,2200000.0,05/20/2021,939 S CREEKVIEW LN,ANAHEIM
PRP-195-223-06,SDR LLC,,5902 CHINOOK DR,195-223-06,ANAHEIM,770000.0,03/12/2020,8861 KATELLA AVE,ANAHEIM
PRP-988-011-55,HADD PROPERTIES WARNER LLC,,11420 WARNER AVE,988-011-55,ANAHEIM,2800000.0,,199 S FERRARI WAY,ANAHEIM
PRP-163-291-61,RSD LLC,,4781 JAMES CIR,163-291-61,ANAHEIM,1025000.0,06/18/2009,8861 KATELLA AVE,ANAHEIM
PRP-159-254-04,SMFMC LLC,,18282 FIELDBURY LN,159-254-04,ANAHEIM,1950000.0,06/24/2024,227 S RENOAK ST,ANAHEIM
PRP-930-685-01,BIRCH MEDICAL LLC,,20311 SW BIRCH ST,930-685-01,ANAHEIM,3000000.0,04/30/2021,327 S ROYAL RIDGE DR,ANAHEIM
PRP-145-211-54,YN REAL ESTATE LLC,,6502 BOLSA AVE,145-211-54,ANAHEIM,5100000.0,03/11/2022,631 S BROOKHURST ST STE 213,ANAHEIM
PRP-195-332-01,GOLDEN OAK CAPITAL MANAGEMENT LLC, HOLIDAY WEST HES LLC,14251 GOLDENWEST ST,195-332-01,ANAHEIM,14970000.0,02/16/2016,1380 S ANAHEIM BLVD,ANAHEIM
PRP-195-332-02,GOLDEN OAK CAPITAL MANAGEMENT LLC, HOLIDAY WEST HES LLC,14241 GOLDENWEST ST,195-332-02,ANAHEIM,14970000.0,02/16/2016,1380 S ANAHEIM BLVD,ANAHEIM
PRP-178-781-29,SILVER HAWK RENTAL LLC,,16225 WHITECAP LN,178-781-29,ANAHEIM,1175000.0,10/27/2010,2931 E LA JOLLA ST,ANAHEIM
PRP-024-091-21,S2AT LLC,,603 10TH ST,024-091-21,ARLINGTON,1795000.0,07/13/2021,3300 MATLOCK RD,ARLINGTON
PRP-142-231-13,KRISFLOWANG INVESTMENTS LLC,,7281 CORSICAN DR,142-231-13,ARTESIA,1133500.0,06/28/2013,PO BOX 402,ARTESIA
PRP-025-032-13,H & W APPRAISAL SERVICE LLC,,201 SPRINGFIELD AVE,025-032-13,ATWOOD,1100000.0,03/05/2019,1679 E ORANGETHORPE AVE UNIT 61,ATWOOD
PRP-939-637-52,RETREAT2NEWPORT LLC,,1049 GRANVILLE DR,939-637-52,AUSTIN,1490000.0,08/07/2019,2028 E BEN WHITE BLVD # 240-8240,AUSTIN
PRP-936-800-20,KCCI PROPERTIES LLC,,1516 BRUINBARK LN # 20,936-800-20,BAKERSFIELD,860000.0,12/22/2021,13004 STOCKDALE HWY,BAKERSFIELD
PRP-178-242-03,ST GEORGE PROPERTY MANAGEMENT LLC,,16766 SIMS LN,178-242-03,BAKERSFIELD,2000000.0,11/10/2025,11904 CLEGG DR,BAKERSFIELD
PRP-935-761-16,KCC1 PROPERTIES LLC,,7264 ROSEMARIE LN,935-761-16,BAKERSFIELD,850000.0,12/20/2021,13004 STOCKDALE HWY,BAKERSFIELD
PRP-937-195-46,CAPTURE HOLDINGS LLC,,414 MAIN ST STE 100,937-195-46,BAKERSFIELD,2800000.0,09/04/2025,2100 HARWOOD ST,BAKERSFIELD
PRP-936-990-16,5 TKACS LLC,,1704 WESTCLIFF DR # 16,936-990-16,BAKERSFIELD,610000.0,12/04/2019,12309 APRIL ANN AVE,BAKERSFIELD
PRP-939-630-94,GLENWOOD RIDGE HOLDINGS LLC,,15 CHATHAM CT # 49,939-630-94,BELLEVUE,2900000.0,12/20/2023,PO BOX 785,BELLEVUE
