npi,org_name,city,taxonomy
1871936856,"SOBERTEC, LLC",ALISO VIEJO,101YA0400X
1174609010,ORANGE COUNTY HEALTH CARE AGENCY,ALISO VIEJO,101YA0400X
1366800161,PHAITE BEHAVIORAL HEALTH CARE SERVICES,ALISO VIEJO,101YP2500X
1306338694,"BRIGHTER DAYS ABA, LLC",ALISO VIEJO,103K00000X
1699220004,"SAN DIEGO PROFESSIONAL GROUP, P. C.",ALISO VIEJO,103TA0400X
1235900945,RISEN WARRIORS FOUNDATION,ALISO VIEJO,103TA0400X
1538708334,"WRIGHT CONSCIOUS COUNSELING, A PSYCHOLOGICAL CORPORATION",ALISO VIEJO,103TA0700X
1811954720,GEORGE K SHAHINIAN M D INCORPORATED,ALISO VIEJO,103TC0700X
1134999709,"AKOYA WELLNESS AND FAMILY COUNSELING, INC.",ALISO VIEJO,106H00000X
1225988447,"WARRIOR WISDOM WELLNESS, INC.",ALISO VIEJO,106H00000X
1154062842,SAADATI CHIROPRACTIC INC.,ALISO VIEJO,111N00000X
1851458004,REILEY CHIROPRACTIC A PROFESSIONAL CHIROPRACTIC CORPORATION,ALISO VIEJO,111N00000X
1235241944,"GORDON H GRANNIS, D.C., A CHIROPRACTIC PROFESSIONAL CORPORATION",ALISO VIEJO,111N00000X
1083845184,KENNEDY CHIROPRACTIC HEALTH AND WELLNESS CENTER INC,ALISO VIEJO,111N00000X
1669060935,KENNETH Q HOANG DC A CHIROPRACTIC CORPORATION,ALISO VIEJO,111N00000X
1558857409,"CHIROSSAGE WELLNESS,INC",ALISO VIEJO,111N00000X
1871886481,WOOD-SCHADE CHIROPRACTIC INC.,ALISO VIEJO,111NS0005X
1881892966,ALISO NIGUEL DENTAL GROUP,ALISO VIEJO,122300000X
1639782527,MOSHARAF DDS INC,ALISO VIEJO,122300000X
1033291133,RICHARD FOUSHEE DDS INC,ALISO VIEJO,122300000X
1215350467,"REZA M. BIRJANDI D.D.S.,A PROFESSIONAL DENTAL CORPORATION",ALISO VIEJO,122300000X
1962943225,K. SOLEIMANI DENTAL CORP,ALISO VIEJO,122300000X
1922712686,"AMERA AL-FALEH, DDS, INC.",ALISO VIEJO,122300000X
1801321377,CLEAR DENTAL PC,ALISO VIEJO,122300000X
1922612332,DIALANI DENTAL CORPORATION,ALISO VIEJO,122300000X
1700200417,CORNEL CRASNEAN DDS,ALISO VIEJO,122300000X
1023523784,TONY BEIZAEE DMD APDC,ALISO VIEJO,1223E0200X
1841639077,PACKER ENDODONTICS,ALISO VIEJO,1223E0200X
1366566481,"LILIANI I. LIEM, DDS, INC",ALISO VIEJO,1223G0001X
1043344534,"CALVIN K. YANG, DDS, P.C.",ALISO VIEJO,1223G0001X
1750425245,"MARIA E ABELLO, DMD, INC",ALISO VIEJO,1223G0001X
1326599903,"OPAL DENTAL, PC",ALISO VIEJO,1223G0001X
1811098213,ALISO WOODS DENTAL,ALISO VIEJO,1223G0001X
1164570594,ERNESTINA AVALOS-FIGUEROA DDS. APC,ALISO VIEJO,1223G0001X
1609069731,"HOA TRUONG DMD, INC.",ALISO VIEJO,1223G0001X
1992028708,FAVELA DENTAL CORP.,ALISO VIEJO,1223G0001X
1790959211,DUONG AND PETCHPUD GENERAL PARTNERSHIP,ALISO VIEJO,1223G0001X
1639325616,SAMUEL H. YEE DDS INC,ALISO VIEJO,1223G0001X
1679782718,SU-MIN WANG PROFESSIONAL DENTAL CORPORATION,ALISO VIEJO,1223P0221X
1518325117,CIMA MAZAR-ATABAKI DMD INC,ALISO VIEJO,1223P0221X
1033932363,PREMIER PEDIATRIC DENTISTRY INC,ALISO VIEJO,1223P0221X
1760785422,ADAM T CLARK DDS DENTAL CORPORATION,ALISO VIEJO,1223S0112X
1467775122,RICHARD L. BOTZBACH II DENTAL CORPORATION,ALISO VIEJO,1223X0400X
1548376528,MCLAURIN-GIAMPICCOLO PARTNERSHIP,ALISO VIEJO,152W00000X
1669703351,"ALISO OPTOMETRY, INC.",ALISO VIEJO,152W00000X
1881081404,TANYA OPTOMETRY CORPORATION,ALISO VIEJO,152W00000X
1992924088,DR PETER L RICH OPTOMETRY CORP,ALISO VIEJO,152W00000X
1356178826,HELPING HAND CARE MANAGEMENT CORP,ALISO VIEJO,163W00000X
1649900986,NURSING ALLIQNZ HEALTHCARE CORPORATION,ALISO VIEJO,163WH0200X
1164419990,BUILDING BLOCKS PEDIATRIC HOME HEALTH SERVICES,ALISO VIEJO,163WH0200X
