BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,InitialApprovalAmount,LoanStatus,DateApproved,LoanNumber,NAICSCode,ServicingLenderName,OriginatingLender
VIEWPOINT EDUCATIONAL FDTN,23620 MULHOLLAND HWY,CALABASAS,CA,5801187.0,Paid in Full,04/10/2020,1689777104,611110,Banc of California,Banc of California
BIRMINGHAM COMMUNITY CHARTER HIGH SCHOOL,17000 HAYNES ST,VAN NUYS,CA,5758250.0,Paid in Full,04/28/2020,7138157205,611110,Banc of California,Banc of California
EXCEPTIONAL CHILDREN'S FOUNDATION,5350 MACHADO LN,CULVER CITY,CA,3858750.0,Paid in Full,04/28/2020,6401887205,624120,Banc of California,Banc of California
DA VINCI SCHOOLS,201 N DOUGLAS ST,EL SEGUNDO,CA,3544682.5,Paid in Full,04/28/2020,7022737200,611110,Banc of California,Banc of California
"GORMAN LEARNING CHARTER NETWORK, INC.",1826 ORANGE TREE LN,REDLANDS,CA,3503792.5,Paid in Full,06/05/2020,8415517809,611110,Banc of California,Banc of California
INNER CITY EDUCATION FOUNDATION,3855 SLAUSON AVE,LOS ANGELES,CA,3396500.0,Paid in Full,04/28/2020,9567317202,611699,Banc of California,Banc of California
WELLNEST EMOTIONAL HEALTH & WELLNESS,3031 VERMONT AVE,LOS ANGELES,CA,3369507.5,Paid in Full,04/28/2020,7058477207,621330,Banc of California,Banc of California
CITIZENS OF THE WORLD CHARTER SCHOOLS - LOS ANGELES,5371 WILSHIRE BLVD,LOS ANGELES,CA,3202750.0,Paid in Full,04/28/2020,9597657200,611110,Banc of California,Banc of California
EDNOVATE INC,350 FIGUEROA ST Suite 250,LOS ANGELES,CA,2813265.0,Paid in Full,04/28/2020,9463237208,611110,Banc of California,Banc of California
"ST. VINCENT DE PAUL VILLAGE, INC.",3350 E ST,SAN DIEGO,CA,2719565.0,Paid in Full,04/15/2020,9858047106,624229,Banc of California,Banc of California
LARCHMONT SCHOOLS,444 LARCHMONT BLVD,LOS ANGELES,CA,2719500.0,Paid in Full,04/27/2020,4094097204,611110,Banc of California,Banc of California
"EQUITAS ACADEMY CHARTER SCHOOL, INC.",1700 PICO BLVD,LOS ANGELES,CA,2576000.0,Paid in Full,04/28/2020,7199147206,611110,Banc of California,Banc of California
AMERICAN JEWISH UNIVERSITY,15600 MULHOLLAND DR,LOS ANGELES,CA,2356355.0,Paid in Full,04/10/2020,1630607105,611310,Banc of California,Banc of California
DOHENY EYE INSTITUTE,1355 San pablo St.,LOS ANGELES,CA,2276000.0,Paid in Full,04/27/2020,6054007204,541715,Banc of California,Banc of California
"STEM PREPARATORY SCHOOLS, INC.",3200 ADAMS BLVD,LOS ANGELES,CA,2146750.0,Paid in Full,04/27/2020,5043787204,611110,Banc of California,Banc of California
AMERICAN JEWISH UNIVERSITY,15600 Mulholland Dr,Los Angeles,CA,2000000.0,Paid in Full,03/12/2021,1158258610,611310,Banc of California,Banc of California
DE TOLEDO HIGH SCHOOL,22622 VANOWEN ST,WEST HILLS,CA,1959340.0,Paid in Full,04/09/2020,8992117001,611110,Banc of California,Banc of California
INGENIUM SCHOOLS,367 2ND AVE,UPLAND,CA,1917852.5,Paid in Full,04/27/2020,4220337206,611110,Banc of California,Banc of California
THOMAS AQUINAS COLLEGE,10000 Ojai Rd,Santa Paula,CA,1860310.0,Paid in Full,02/02/2021,1527248407,611310,Banc of California,Banc of California
