Owner1,Owner2,SiteAddress,MailAddress,MailCity,APN,LastSeller,LastSaleDate,LastSaleValue
TD ESTATES LLC,,8512 OXLEY CIR,1800 HONDURAS AVE MARCO ISLAND FL 34145 4220,,151-592-36,"TRAN, VICKIE MACH",02/21/2023,1225000.0
C-HPNN HOLDINGS LLC,,3722 MONTEGO DR,11342 DARLING RD,AGUA DULCE,178-641-14,"COMSTOCK, DAVID L; COMSTOCK, SUSAN C",12/21/2023,1580000.0
7761 GARFIELD AVE LLC,,7761 GARFIELD AVE,3200 DANVILLE BLVD STE 100,ALAMO,159-121-41,"WLRE OWNER III LLC,",06/03/2019,4087500.0
SST II 7611 TALBERT AVE LLC,,7611 TALBERT AVE,PO BOX 320099,ALEXANDRIA,165-261-57,"DSI REALTY INCOME FUND VIII,",02/11/2015,10830000.0
AILYS2017 LLC,,24 CHANDON,PO BOX 7285,ALGONQUIN,936-465-04,"JAY, PRAKASH",05/25/2017,1575000.0
H B PIERSIDE LLC,,218 3RD ST,212 S PALM AVE # 200,ALHAMBRA,024-165-10,"FERNANDEZ, RAMIRO; RAMIRO FERNANDEZ 2005 TRUST,",06/29/2012,600000.0
H B PIERSIDE LLC,,214 3RD ST,212 S PALM AVE # 200,ALHAMBRA,024-165-11,"FERNANDEZ, RAMIRO; RAMIRO FERNANDEZ 2005 TRUST,",06/29/2012,1200000.0
MIRIAM LLC,,310 FERNANDO ST APT 411,715 BLUE SPRUCE RD,ALPINE,932-940-48,"SPIELBERGER, RICARDO T; SPIELBERGER, RACHEL",05/13/2021,1275000.0
SILVER HAWK RENTAL LLC,,16225 WHITECAP LN,2931 E LA JOLLA ST,ANAHEIM,178-781-29,"GENERATION REAL ESTATE II LP,",10/27/2010,1175000.0
SDR LLC,,5902 CHINOOK DR,8861 KATELLA AVE,ANAHEIM,195-223-06,"RODRIGUEZ, OSCAR GABRIEL; RODRIGUEZ, LEAH DIANE",03/12/2020,770000.0
SMFMC LLC,,18282 FIELDBURY LN,227 S RENOAK ST,ANAHEIM,159-254-04,"GUARDERAS, SHEILA",06/24/2024,1950000.0
LOS DELANTARES LLC,,1400 PACIFIC COAST HWY APT 101,1210 W DWYER DR,ANAHEIM,939-501-90,"HILLMAN, NATALEE R",04/06/2020,827182.0
THREE-O-FOUR FERNANDO LLC,,310 FERNANDO ST APT 304,4300 E TERRA VISTA LN,ANAHEIM,932-940-29,"BSSC INC,",04/29/2019,325000.0
GOLDEN OAK CAPITAL MANAGEMENT LLC, HOLIDAY WEST HES LLC,14241 GOLDENWEST ST,1380 S ANAHEIM BLVD,ANAHEIM,195-332-02,"THE SCHOOL OF THE OZARKS,",02/16/2016,14970000.0
