LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
4836028005,06/26/2020,0455,PPP,MINDY VALDIVIA,5802 CARRIAGE DR,SARASOTA,FL,34243-3864,06/19/2021,Paid in Full,60,100,258.32,258.32,0.0,,100353,CommunityAmerica CU,9777 Ridge Dr,LENEXA,KS,66219-9746,U,N,N,Existing or more than 2 years old,SARASOTA,MANATEE,FL,34243-3864,FL-16,1.0,336214,Unanswered,Unknown/NotStated,,258.32,,,,,,Sole Proprietorship,100353,CommunityAmerica CU,LENEXA,KS,Unanswered,Unanswered,,260.56,05/14/2021
3247708800,04/14/2021,0455,PPP,MENG FENG WANG,7675 49th St N,Pinellas Park,FL,33781-3445,03/09/2022,Paid in Full,60,100,2707.0,2707.0,0.0,,524612,Fountainhead SBF LLC,3216 W. Lake Mary Blvd,LAKE MARY,FL,32746,U,Y,N,Existing or more than 2 years old,Pinellas Park,PINELLAS,FL,33781-3445,FL-13,1.0,722513,Unanswered,Unknown/NotStated,1.0,2701.0,,,,,,Independent Contractors,100631,Greater Nevada CU,CARSON CITY,NV,Unanswered,Unanswered,,2716.1,08/19/2021
9242138706,04/08/2021,0455,PPP,DIANE WYROSDIC,7692 Camminare Dr,Sarasota,FL,34238-4774,04/23/2021,Paid in Full,60,100,2251.45,2251.45,0.0,,101029,Pinnacle Federal Credit Union,2909 Washington Rd,Parlin,NJ,08859,U,N,N,Existing or more than 2 years old,Sarasota,SARASOTA,FL,34238-4774,FL-17,1.0,722320,Unanswered,Unknown/NotStated,1.0,2249.45,,,,,,Sole Proprietorship,101029,Pinnacle Federal Credit Union,Parlin,NJ,Unanswered,Unanswered,,2256.14,06/23/2021
6371968308,01/26/2021,0455,PPP,TONY PEREZ JR,442 Karney Ave NE,Palm Bay,FL,32907-2519,08/12/2022,Charged Off,41,100,2102.08,2102.08,0.0,,110352,First Bank of the Lake,"4558 Osage Beach Pkwy, Ste 100",OSAGE BEACH,MO,65065-2372,U,N,N,Existing or more than 2 years old,Palm Bay,BREVARD,FL,32907-2519,FL-08,1.0,811191,White,Hispanic or Latino,1.0,2099.08,,,,,,Sole Proprietorship,110352,First Bank of the Lake,OSAGE BEACH,MO,Male Owned,Non-Veteran,,,
9696908401,02/17/2021,0455,PPP,ISABEL MARTINEZ BERMUDEZ,6074 Indian Trail Dr,Loxahatchee,FL,33470-5726,03/18/2022,Paid in Full,60,100,1393.96,1393.96,0.0,,110352,First Bank of the Lake,"4558 Osage Beach Pkwy, Ste 100",OSAGE BEACH,MO,65065-2372,U,N,N,Existing or more than 2 years old,Loxahatchee,PALM BEACH,FL,33470-5726,FL-21,1.0,561720,Unanswered,Unknown/NotStated,,1393.96,,,,,,Self-Employed Individuals,110352,First Bank of the Lake,OSAGE BEACH,MO,Unanswered,Unanswered,,1407.4,02/10/2022
9580978605,03/26/2021,0455,PPP,BEATRIZ SANTANA ESTRADA,11402 N 19th St,Tampa,FL,33612-6133,02/19/2022,Paid in Full,60,100,1041.67,1041.67,0.0,,110352,First Bank of the Lake,"4558 Osage Beach Pkwy, Ste 100",OSAGE BEACH,MO,65065-2372,U,Y,Y,Existing or more than 2 years old,Tampa,HILLSBOROUGH,FL,33612-6133,FL-15,1.0,561110,Unanswered,Unknown/NotStated,1.0,1039.67,,,,,,Sole Proprietorship,110352,First Bank of the Lake,OSAGE BEACH,MO,Unanswered,Unanswered,,1050.61,02/10/2022
5988218410,02/09/2021,0951,PPS,B CORPORATION,178 W Harmon Industrial Park Rd,Tamuning,GU,96913-4158,03/10/2022,Paid in Full,60,100,5914.0,5914.0,0.0,,110625,Coast360 FCU,450 Rte 8,MAITE,GU,96910-2010,U,N,N,Existing or more than 2 years old,Tamuning,GUAM,GU,96913-4158,GU-,1.0,811111,Asian,Not Hispanic or Latino,1.0,5912.0,,,,,,Corporation,110625,Coast360 FCU,MAITE,GU,Unanswered,Unanswered,,5981.68,04/01/2022
4885938406,02/07/2021,0951,PPS,MICHAEL SEONGDON YIM,CARL ROSA PLAZA UNIT 101 PALE SAN VITORES ROAD,TUMON,GU,96913,02/26/2021,Paid in Full,60,100,41536.0,41536.0,0.0,,110625,Coast360 FCU,450 Rte 8,MAITE,GU,96910-2010,U,N,N,Existing or more than 2 years old,TUMON,GUAM,GU,96913,GU-,9.0,722511,Asian,Not Hispanic or Latino,1.0,41531.0,,,,,,Sole Proprietorship,110625,Coast360 FCU,MAITE,GU,Male Owned,Non-Veteran,,41801.37,10/06/2021
1265378007,06/21/2020,0951,PPP,KING'S LAUNDROMAT,191 E. LIGUAN AVE ELIM'S PLAZA STE 101,DEDEDO,GU,96929-5922,07/07/2022,Paid in Full,60,100,12648.0,12648.0,0.0,,110625,Coast360 FCU,450 Rte 8,MAITE,GU,96910-2010,U,N,N,Existing or more than 2 years old,DEDEDO,GUAM,GU,96929-5922,GU-,2.0,812320,Asian,Not Hispanic or Latino,,12648.0,,,,,,Sole Proprietorship,110625,Coast360 FCU,MAITE,GU,Female Owned,Unanswered,,,
2107527301,04/29/2020,0951,PPP,BRIAN T. ANDERSON,184 D TAI GIGAO RD,AGANA HEIGHTS,GU,96910-6122,02/05/2021,Paid in Full,24,100,4594.0,4594.0,0.0,,110625,Coast360 FCU,450 Rte 8,MAITE,GU,96910-2010,U,N,N,Unanswered,AGANA HEIGHTS,GUAM,GU,96910-6122,GU-,1.0,811310,Unanswered,Unknown/NotStated,,4594.0,,,,,,Sole Proprietorship,110625,Coast360 FCU,MAITE,GU,Unanswered,Unanswered,,4649.38,07/12/2021
