LoanNumber,DateApproved,SBAOfficeCode,ProcessingMethod,BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,BorrowerZip,LoanStatusDate,LoanStatus,Term,SBAGuarantyPercentage,InitialApprovalAmount,CurrentApprovalAmount,UndisbursedAmount,FranchiseName,ServicingLenderLocationID,ServicingLenderName,ServicingLenderAddress,ServicingLenderCity,ServicingLenderState,ServicingLenderZip,RuralUrbanIndicator,HubzoneIndicator,LMIIndicator,BusinessAgeDescription,ProjectCity,ProjectCountyName,ProjectState,ProjectZip,CD,JobsReported,NAICSCode,Race,Ethnicity,UTILITIES_PROCEED,PAYROLL_PROCEED,MORTGAGE_INTEREST_PROCEED,RENT_PROCEED,REFINANCE_EIDL_PROCEED,HEALTH_CARE_PROCEED,DEBT_INTEREST_PROCEED,BusinessType,OriginatingLenderLocationID,OriginatingLender,OriginatingLenderCity,OriginatingLenderState,Gender,Veteran,NonProfit,ForgivenessAmount,ForgivenessDate
1579447708,05/01/2020,0920,PPP,MORECARE PALLIATIVE &AMP; HOSPICE INC,11770 WARNER AVE STE 210,FOUNTAIN VALLEY,CA,92708,09/30/2021,Paid in Full,24,100,312500.0,312500.0,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,FOUNTAIN VALLEY,ORANGE,CA,92708-1001,CA-45,40,623110,Unanswered,Unknown/NotStated,,312500.0,,,,,,Subchapter S Corporation,194093,"JPMorgan Chase Bank, National Association",CHICAGO,IL,Unanswered,Unanswered,,316430.21,08/09/2021
9263398408,02/16/2021,0920,PPS,MORECARE PALLIATIVE & HOSPICE INC,11770 Warner Ave Ste 210,Fountain Valley,CA,92708-2661,11/19/2021,Paid in Full,60,100,312500.0,312500.0,0,,48270,"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240-2031,U,N,N,Existing or more than 2 years old,Fountain Valley,ORANGE,CA,92708-2661,CA-45,40,623110,Unanswered,Unknown/NotStated,1.0,312497.0,,,,,,Subchapter S Corporation,48270,"JPMorgan Chase Bank, National Association",COLUMBUS,OH,Unanswered,Unanswered,,314601.22,10/25/2021
8873347803,06/07/2020,0920,PPP,"MAXLIFE HOSPICE CARE, INC.",11770 Warner Ave. Suite 101,Fountain Valley,CA,92708-2625,04/21/2021,Paid in Full,60,100,253865.0,253865.0,0,,122043,WebBank,"215 S State St, Ste 1000",SALT LAKE CITY,UT,84111-2336,U,N,N,Existing or more than 2 years old,Fountain Valley,ORANGE,CA,92708-2625,CA-45,32,621610,Unanswered,Unknown/NotStated,,253865.0,,,,,,Subchapter S Corporation,122043,WebBank,SALT LAKE CITY,UT,Unanswered,Unanswered,,255790.14,03/09/2021
5126207701,05/01/2020,0920,PPP,"AMERICAN MEDICAL PRACTICE MANAGEMENT,INC",11770 WARNER AVE STE 229,FOUNTAIN VALLEY,CA,92708-2662,06/16/2022,Paid in Full,24,100,37169.0,37169.0,0,,9551,"Bank of America, National Association","100 N Tryon St, Ste 170",CHARLOTTE,NC,28202-4024,U,N,N,New Business or 2 years or less,FOUNTAIN VALLEY,ORANGE,CA,92708-2662,CA-45,3,541611,Unanswered,Unknown/NotStated,,37169.0,,,,,,Corporation,9551,"Bank of America, National Association",CHARLOTTE,NC,Unanswered,Unanswered,,27724.78,02/10/2021
9995027706,05/01/2020,0920,PPP,INGRAM AMERICA LLC,11770 WARNER AVE,FOUNTAIN VALLEY,CA,92708,04/24/2021,Paid in Full,24,100,36402.0,36402.0,0,,53803,"U.S. Bank, National Association",425 Walnut St,CINCINNATI,OH,45202-3956,U,N,N,New Business or 2 years or less,FOUNTAIN VALLEY,ORANGE,CA,92708-1001,CA-45,3,999990,Unanswered,Unknown/NotStated,,36402.0,,,,,,Limited  Liability Company(LLC),11822,US Bank National Association,San Francisco,CA,Unanswered,Unanswered,,36708.18,03/10/2021
7327257308,04/30/2020,0920,PPP,CARE 1 LLC,11770 WARNER AVENUE SUITE 111,FOUNTAIN VALLEY,CA,92708,10/20/2021,Paid in Full,24,100,25000.0,25000.0,0,,12096,"Wells Fargo Bank, National Association",101 N Philips Ave,SIOUX FALLS,SD,57104-6738,U,N,N,New Business or 2 years or less,FOUNTAIN VALLEY,ORANGE,CA,92708-1001,CA-45,12,621399,Unanswered,Unknown/NotStated,,25000.0,,,,,,Limited  Liability Company(LLC),12096,"Wells Fargo Bank, National Association",SIOUX FALLS,SD,Unanswered,Unanswered,,25342.47,09/21/2021
6797508503,03/04/2021,0920,PPS,HOUGH CHIROPRACTIC INC.,11770 Warner Ave Ste 122,Fountain Valley,CA,92708-2660,09/17/2021,Paid in Full,60,100,20865.0,20865.0,0,,524612,Fountainhead SBF LLC,3216 W. Lake Mary Blvd,LAKE MARY,FL,32746,U,N,Y,Existing or more than 2 years old,Fountain Valley,ORANGE,CA,92708-2660,CA-45,4,621310,White,Not Hispanic or Latino,,20864.0,,,,,,Corporation,524612,Fountainhead SBF LLC,LAKE MARY,FL,Male Owned,Non-Veteran,,20954.26,08/12/2021
4439118309,01/23/2021,0920,PPS,MYDIEM HONG,11770 Warner Ave Ste 119,Fountain Valley,CA,92708-2660,03/18/2022,Paid in Full,60,100,20833.0,20833.0,0,,121536,Customers Bank,40 General Warren Blvd,Malvern,PA,19355,U,N,N,Existing or more than 2 years old,Fountain Valley,ORANGE,CA,92708-2660,CA-45,1,524210,Unanswered,Unknown/NotStated,,20831.0,,,,,,Independent Contractors,121536,Customers Bank,Malvern,PA,Unanswered,Unanswered,,20932.31,07/28/2021
4773788208,08/06/2020,0920,PPP,MY DIEM T HONG,11770 WARNER AVE STE 119,FOUNTAIN VALLEY,CA,92708-2625,03/18/2022,Paid in Full,60,100,20833.0,20833.0,0,,121536,Customers Bank,40 General Warren Blvd,Malvern,PA,19355,U,N,N,Existing or more than 2 years old,FOUNTAIN VALLEY,ORANGE,CA,92708-2625,CA-45,1,524210,Unanswered,Unknown/NotStated,,20833.0,,,,,,Independent Contractors,121536,Customers Bank,Malvern,PA,Unanswered,Unanswered,,20903.78,12/15/2020
3598337301,04/29/2020,0920,PPP,"HOUGH CHIROPRACTIC, INC",11770 Warner Ave 122,Fountain Valley,CA,92708,04/10/2021,Paid in Full,24,100,20185.0,20185.0,0,,456756,Cross River Bank,885 Teaneck Rd,TEANECK,NJ,07666-4546,U,N,N,Unanswered,Fountain Valley,ORANGE,CA,92708-1001,CA-45,4,621310,White,Not Hispanic or Latino,,20185.0,,,,,,Corporation,456756,Cross River Bank,TEANECK,NJ,Female Owned,Non-Veteran,,20353.12,03/09/2021
