City / Agency,Domain / Hostname,Public IP Address / Range,ASN & Carrier,Hosting Location,Service Fingerprint,WAF / CDN Status,Windows NT / Legacy Lineage,IRC Year & Grade,Annual IT Budget,Capital Deficit
City of Huntington Beach,gis.huntingtonbeachca.gov,192.5.222.153,AS393281 (City of Huntington Beach),On-Premise (City Hall Basement),Microsoft-IIS / ESRI ArcGIS REST (Port 443),NONE (Direct Naked IP),YES (Legacy 2000s On-Prem Rack),"2000 (IAC), 2024 (Grade C)","$4,000,000 / yr",$21,000,000
City of Huntington Beach,records.huntingtonbeachca.gov,192.5.222.218,AS393281 (City of Huntington Beach),On-Premise (City Hall Basement),Microsoft-IIS / Laserfiche WebLink ASP.NET,NONE (Direct Naked IP),YES (Legacy 2000s On-Prem Rack),"2000 (IAC), 2024 (Grade C)","$4,000,000 / yr",$21,000,000
City of Huntington Beach,huntingtonbeachca.gov,104.26.14.40 / 104.26.15.40,AS13335 (Cloudflare Inc),Cloud Edge (Global CDN),Cloudflare Reverse Proxy (Port 443),Cloudflare WAF Active,PARTIAL (Split Edge Architecture),"2000 (IAC), 2024 (Grade C)","$4,000,000 / yr",$21,000,000
City of Huntington Beach,huntingtonbeachca.gov Subnet,192.5.222.0/24,AS393281 (City of Huntington Beach),On-Premise Datacenter,Direct BGP Municipal Subnet Route,NONE (Exposed Autonomous System),YES (Direct Subnet Route),"2000 (IAC), 2024 (Grade C)","$4,000,000 / yr",$21,000,000
County of Orange (Central),ocgov.com / ocpublicworks.com,159.111.146.166,AS20268 (County of Orange IT),County Datacenter (Santa Ana),Microsoft-IIS / County Portal Gateway,F5 BIG-IP Edge Proxy,PARTIAL (Enterprise Datacenter),"2016 (ASCE OC Grade C+), 2021 (OCBC)","$42,000,000 / yr",$18,000,000
City of Westminster,westminster-ca.gov,209.232.148.77,AS19894 (Granicus Gov Delivery),Legacy Windows Server Cluster,Microsoft-IIS / Legacy ArcIMS / Laserfiche,Minimal Gateway Firewall,YES (Windows Server 2012 Legacy),"2016 (ASCE OC), 2021 (OCBC - Grade D+)","$2,900,000 / yr",$8,500,000
City of Garden Grove,ggcity.org,104.21.38.192,AS13335 (Cloudflare Inc),Hybrid Cloud / Azure Virtual Datacenter,ArcGIS Enterprise & Laserfiche Cloud,Cloudflare WAF Active,PARTIAL (Transitioning Hybrid),"2016 (ASCE OC), 2021 (OCBC - Grade B-)","$5,100,000 / yr",$6,000,000
City of Fountain Valley,fountainvalley.gov,198.245.188.42,AS21788 (Involta / Regional ISP),Municipal On-Premise Gateway,Microsoft-IIS / City Gateway Portal,Barracuda Web Application Filter,YES (Legacy On-Prem Gateway),"2016 (ASCE OC), 2021 (OCBC - Grade C+)","$2,800,000 / yr",$5,200,000
City of Fullerton,cityoffullerton.com,198.1.122.95,AS32244 (Liquid Web Gov),Hybrid Datacenter Gateway,Microsoft-IIS / Enterprise Portal,Cloudflare + SonicWall WAF,PARTIAL (Hybrid Gateway),"2016 (ASCE OC), 2021 (OCBC - Grade B-)","$4,200,000 / yr",$5,000,000
City of Indio (Coachella),indio.org,104.18.32.88,AS13335 (Cloudflare Inc),Hybrid Cloud / Tyler SaaS,Tyler Technologies Cloud / ArcGIS Online,Cloudflare WAF Active,PARTIAL (Modernized SaaS Hub),"2020 (Riverside County IRC - Grade B)","$3,200,000 / yr",$4,500,000
City of Santa Ana,santa-ana.org,209.232.149.12,AS19894 (Granicus GovCloud),Managed Gov Datacenter,OpenGov / GIS Cloud Portal,Cloud WAF Active,PARTIAL (Managed GovCloud),"2016 (ASCE OC), 2021 (OCBC - Grade B)","$8,900,000 / yr",$4,200,000
