Category,Entity / Borrower,Registered Property / City,Loan / Claim Origin State,Amount ($),Forgiven ($),Anomaly Details
Out-of-State PPP Match,TRIUMVIRATE LLC,21951 BROOKHURST ST (FOUNTAIN VALLEY),AK,852740.0,859751.42,Geographic mismatch: Registered in SoCal but PPP loan issued in AK
Out-of-State PPP Match,"TRIUMVIRATE, LLC",21951 BROOKHURST ST (FOUNTAIN VALLEY),AK,619100.0,625841.31,Geographic mismatch: Registered in SoCal but PPP loan issued in AK
Out-of-State PPP Match,LAZER LLC,7782 RONALD DR (INDIO),NJ,600000.0,,Geographic mismatch: Registered in SoCal but PPP loan issued in NJ
Out-of-State PPP Match,"AIMS, LLC",16091 BEACH BLVD (SARATOGA),IN,585527.0,593416.98,Geographic mismatch: Registered in SoCal but PPP loan issued in IN
Out-of-State PPP Match,STEWART INDUSTRIES LLC,3311 BOUNTY CIR (SEAL BEACH),MI,564165.0,568245.54,Geographic mismatch: Registered in SoCal but PPP loan issued in MI
Out-of-State PPP Match,STEWART INDUSTRIES LLC,3311 BOUNTY CIR (SEAL BEACH),MI,564162.5,569665.02,Geographic mismatch: Registered in SoCal but PPP loan issued in MI
Out-of-State PPP Match,MYVILLAGE LLC,12555 EUCLID ST APT 53 (ANAHEIM),CO,370030.0,374357.3,Geographic mismatch: Registered in SoCal but PPP loan issued in CO
Out-of-State PPP Match,DRT LLC,16862 CORAL CAY LN (NEWPORT BEACH),OR,357716.32,362048.12,Geographic mismatch: Registered in SoCal but PPP loan issued in OR
Out-of-State PPP Match,RAV LLC,1 MAIN ST (SAN FRANCISCO),SC,229100.0,231441.91,Geographic mismatch: Registered in SoCal but PPP loan issued in SC
Out-of-State PPP Match,RMI MANAGEMENT LLC,17191 KAMPEN LN (NEWPORT BEACH),TX,217702.0,220600.72,Geographic mismatch: Registered in SoCal but PPP loan issued in TX
Out-of-State PPP Match,THE LE FAMILY LLC,16752 JEFFREY CIR (CORONA),TX,213900.0,216929.76,Geographic mismatch: Registered in SoCal but PPP loan issued in TX
Out-of-State PPP Match,"FIRST HIGHLAND, LLC",8171 COBBLESTONE LN # 4 (WESTMINSTER),FL,205811.48,207311.37,Geographic mismatch: Registered in SoCal but PPP loan issued in FL
Out-of-State PPP Match,FIRST HIGHLAND LLC,8171 COBBLESTONE LN # 4 (WESTMINSTER),FL,205800.0,207040.44,Geographic mismatch: Registered in SoCal but PPP loan issued in FL
Out-of-State PPP Match,HB LLC,9472 RAMBLER DR (EDMONDS),RI,193170.0,195424.53,Geographic mismatch: Registered in SoCal but PPP loan issued in RI
Out-of-State PPP Match,"TRK, LLC",7924 STARK DR (LOS ANGELES),UT,175700.0,178313.84,Geographic mismatch: Registered in SoCal but PPP loan issued in UT
Out-of-State PPP Match,RAV LLC,1 MAIN ST (SAN FRANCISCO),SC,163700.0,165932.69,Geographic mismatch: Registered in SoCal but PPP loan issued in SC
Out-of-State PPP Match,THE LE FAMILY LLC,16752 JEFFREY CIR (CORONA),TX,152800.0,154395.91,Geographic mismatch: Registered in SoCal but PPP loan issued in TX
Multi-State Shell Structure,MECHANICAL SYSTEMS INC,Multi-Jurisdictional,"AZ, KS, KY, MD, MN, NE, WY",7652880.22,7712680.75,Operates across 7 states with 9 distinct loans
Multi-State Shell Structure,"ELECTRICAL CONTRACTORS, INC.",Multi-Jurisdictional,"IL, MO, NE, TN, UT",2036895.0,2051078.03,Operates across 5 states with 5 distinct loans
Multi-State Shell Structure,"PREFERRED ELECTRIC, INC.",Multi-Jurisdictional,"DE, LA, MN, WA",3792440.5,3831597.7199999997,Operates across 4 states with 4 distinct loans
Multi-State Shell Structure,STRUCTURAL SYSTEMS INC.,Multi-Jurisdictional,"AR, HI, NY, WV",3169159.0,3205125.57,Operates across 4 states with 6 distinct loans
Multi-State Shell Structure,COMMUNITY CONNECTIONS INC,Multi-Jurisdictional,"CO, GA, IN, MA",2911600.0,2934726.03,Operates across 4 states with 4 distinct loans
Multi-State Shell Structure,"ACE ELECTRIC, INC.",Multi-Jurisdictional,"CA, FL, MT, WA",2901225.0,2921788.2699999996,Operates across 4 states with 5 distinct loans
Multi-State Shell Structure,PYRAMID INC,Multi-Jurisdictional,"CA, FL, MD, OH",2794815.0,2819743.12,Operates across 4 states with 4 distinct loans
Multi-State Shell Structure,ENVIRONMENTAL CONSTRUCTION INC,Multi-Jurisdictional,"CA, FL, NY, WA",2645424.0,2670666.79,Operates across 4 states with 4 distinct loans
Multi-State Shell Structure,PARTNERS IN CARE LLC,Multi-Jurisdictional,"FL, IL, MN, TX",2372439.0,2393561.76,Operates across 4 states with 5 distinct loans
Multi-State Shell Structure,"CRANEWORKS, INC",Multi-Jurisdictional,"FL, KS, NJ, TX",2199000.0,2212849.3499999996,Operates across 4 states with 4 distinct loans
Multi-State Shell Structure,"EXECUTIVE LANDSCAPING, INC.",Multi-Jurisdictional,"CT, FL, MA, OH",1716270.0,1729727.0999999999,Operates across 4 states with 4 distinct loans
Multi-State Shell Structure,PRINCE OF PEACE LUTHERAN CHURCH,Multi-Jurisdictional,"AZ, MN, TX, VA",1597169.0,1608819.2,Operates across 4 states with 5 distinct loans
Multi-State Shell Structure,"NEPHROLOGY ASSOCIATES, INC.",Multi-Jurisdictional,"OH, OK, RI, WV",1242462.0,1253180.1600000001,Operates across 4 states with 4 distinct loans
Multi-State Shell Structure,AIR CONTROL INC.,Multi-Jurisdictional,"FL, IA, LA, NC",1201367.5,1212432.86,Operates across 4 states with 4 distinct loans
Multi-State Shell Structure,ST. VINCENT DE PAUL CHURCH,Multi-Jurisdictional,"AR, CO, OH, WV",1177012.4,1186634.1099999999,Operates across 4 states with 5 distinct loans
Multi-State Shell Structure,CORPUS CHRISTI CATHOLIC SCHOOL,Multi-Jurisdictional,"FL, IL, MI, TX",1107200.0,1118147.1,Operates across 4 states with 4 distinct loans
Multi-State Shell Structure,"COMMUNITY HEALTH SYSTEMS, INC.",Multi-Jurisdictional,"CA, WI, WV",9034050.0,9144732.969999999,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,TEAM CLEAN INC,Multi-Jurisdictional,"CO, HI, PA",8624771.0,7914855.56,Operates across 3 states with 5 distinct loans
Multi-State Shell Structure,SKILLS INC,Multi-Jurisdictional,"ME, NC, WA",7549215.0,7626471.869999999,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,"MODERN INDUSTRIES, INC.",Multi-Jurisdictional,"AZ, MI, RI",7466389.0,7551773.149999999,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,"COMMUNITY CONNECTIONS, INC.",Multi-Jurisdictional,"AK, DC, MA",7424310.0,7521980.86,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,"PREMIER STAFFING, INC.",Multi-Jurisdictional,"CA, IA, WI",7368455.0,7412245.699999999,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,THOMPSON ELECTRIC INC,Multi-Jurisdictional,"AR, MD, OH",7157455.0,7236847.09,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,"CECO, INC.",Multi-Jurisdictional,"IL, MD, OR",6899181.0,6985005.37,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,BROADWAY ENTERPRISES INC,Multi-Jurisdictional,"CA, GA, WI",5789369.0,5861820.45,Operates across 3 states with 5 distinct loans
Multi-State Shell Structure,FAMILY FORD INC,Multi-Jurisdictional,"CT, FL, NJ",5326652.0,5381351.76,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,CSI CONSTRUCTION SERVICES INC,Multi-Jurisdictional,"CA, NJ, OH",4878645.0,4927826.72,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,"INTEGRITY, INC.",Multi-Jurisdictional,"AR, LA, NJ",4841933.0,4901633.38,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,PRECISION ENGINEERING INC,Multi-Jurisdictional,"AL, CA, MA",4574307.02,4612898.13,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,"UNITED MECHANICAL, INC.",Multi-Jurisdictional,"KY, OK, WI",4390095.0,4435559.58,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,"ACTION, INC.",Multi-Jurisdictional,"AR, GA, MT",4182896.0,4209490.59,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,HILL INTERNATIONAL TRUCKS LLC,Multi-Jurisdictional,"OH, PA, WV",4124200.0,4162042.0100000002,Operates across 3 states with 5 distinct loans
Multi-State Shell Structure,METRO MECHANICAL INC,Multi-Jurisdictional,"MS, OH, TX",4031400.0,4064024.62,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,INDEPENDENT HOME CARE INC,Multi-Jurisdictional,"MO, NY, PA",4021775.65,2013311.64,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,"INTEGRATED COMPUTER SOLUTIONS, INC.",Multi-Jurisdictional,"AL, MA, NE",3895682.5,3933513.0599999996,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,TOTAL ELECTRIC INC.,Multi-Jurisdictional,"IL, KS, MD",3851574.0,3775678.57,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,COMMUNITY MANAGEMENT CORPORATION,Multi-Jurisdictional,"CA, NC, OH",3845685.47,3881173.25,Operates across 3 states with 3 distinct loans
Multi-State Shell Structure,HOME HEALTH CONNECTION INC,Multi-Jurisdictional,"FL, MD, OH",3656551.0,3642754.73,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,PINNACLE ENGINEERING INC,Multi-Jurisdictional,"AL, MN, TX",3618895.0,3644774.0900000003,Operates across 3 states with 5 distinct loans
Multi-State Shell Structure,ALTERNATIVE STAFFING INC,Multi-Jurisdictional,"PA, SC, VA",3519051.0,3555676.6000000006,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,JAMES TRANSPORTATION LLC,Multi-Jurisdictional,"KY, MO, NJ",3518451.87,2620035.69,Operates across 3 states with 5 distinct loans
Multi-State Shell Structure,INDUSTRIAL MAINTENANCE INC,Multi-Jurisdictional,"GA, KS, OK",3442400.0,3472444.9299999997,Operates across 3 states with 4 distinct loans
Multi-State Shell Structure,"LANDSCAPE SERVICES, INC.",Multi-Jurisdictional,"MD, MI, TN",3317990.0,3350554.22,Operates across 3 states with 3 distinct loans
